id,cm_t0_p0,cm_t0_p1,cm_t0_p2,cm_t0_p3,cm_t1_p0,cm_t1_p1,cm_t1_p2,cm_t1_p3,cm_t2_p0,cm_t2_p1,cm_t2_p2,cm_t2_p3,cm_t3_p0,cm_t3_p1,cm_t3_p2,cm_t3_p3
ROI_0085__20190911T182921_20190911T183249_T11TPJ,0,61222,855,0,0,154565,1030,0,0,0,0,0,0,43922,550,0
ROI_0085__20200602T182919_20200602T183556_T11TPJ,0,262123,21,0,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0085__20200707T182921_20200707T183250_T11TPJ,7666,189348,0,2873,1078,28232,0,8470,0,0,0,0,29,17201,0,7247
ROI_0106__20190509T152649_20190509T152958_T18LTN,740,261293,111,0,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0106__20191220T152631_20191220T153056_T18LTN,263,76395,0,0,549,144529,0,4734,0,0,0,0,5492,26556,0,3626
ROI_0106__20200304T152639_20200304T153356_T18LTN,12842,186920,4,0,214,39426,1315,0,0,0,0,0,621,20759,43,0
ROI_0106__20200612T152639_20200612T153318_T18LTN,142125,23133,0,13224,0,82653,0,825,0,0,0,0,0,81,0,103
ROI_0106__20200617T152651_20200617T152645_T18LTN,0,13276,1485,42308,0,175729,29143,203,0,0,0,0,0,0,0,0
ROI_0120__20190302T045721_20190302T050545_T45TXE,0,262144,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0120__20190829T045701_20190829T045729_T45TXE,1255,170543,220,1508,0,15419,0,0,4,50264,0,0,4909,4765,227,13030
ROI_0120__20191008T045701_20191008T050028_T45TXE,40,16957,131,0,14,205330,141,280,0,21791,0,0,100,17032,31,297
ROI_0120__20191020T044819_20191020T044922_T45TXE,0,52064,53972,0,0,14786,0,0,0,93510,34174,0,0,8780,0,4858
ROI_0120__20191219T045209_20191219T045214_T45TXE,0,0,0,262144,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0141__20181226T141039_20181226T142041_T19FDE,0,46052,120,215972,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0141__20190316T141049_20190316T142437_T19FDE,0,152218,8,46341,0,0,0,0,0,14870,1085,41076,0,4222,0,2324
ROI_0141__20190420T141051_20190420T142048_T19FDE,1340,51368,0,2923,1541,160252,0,4847,0,0,0,0,4963,32005,0,2905
ROI_0141__20191126T141051_20191126T142045_T19FDE,0,9585,0,7032,0,2483,0,8432,0,103388,0,92489,0,27061,0,11674
ROI_0141__20200419T141039_20200419T142040_T19FDE,0,119615,556,41942,0,0,0,0,0,97544,2046,441,0,0,0,0
ROI_0153__20190405T141049_20190405T142048_T20JPM,35150,0,0,121576,0,0,0,21199,0,0,0,84219,0,0,0,0
ROI_0153__20190709T141051_20190709T141051_T20JPM,0,4553,0,115429,0,0,0,11400,0,539,0,130223,0,0,0,0
ROI_0153__20191201T141039_20191201T142051_T20JPM,126762,48735,0,50224,643,5846,0,29934,0,0,0,0,0,0,0,0
ROI_0153__20200411T140051_20200411T140833_T20JPM,1106,4395,4,256639,0,0,0,0,0,0,0,0,0,0,0,0
