id,cm_t0_p0,cm_t0_p1,cm_t0_p2,cm_t0_p3,cm_t1_p0,cm_t1_p1,cm_t1_p2,cm_t1_p3,cm_t2_p0,cm_t2_p1,cm_t2_p2,cm_t2_p3,cm_t3_p0,cm_t3_p1,cm_t3_p2,cm_t3_p3
ROI_0001__20190212T142031_20190212T143214_T19FDF,18082,161910,0,0,0,0,0,0,0,82152,0,0,0,0,0,0
ROI_0001__20190304T142031_20190304T142654_T19FDF,7058,5778,0,0,4906,34795,0,0,0,1,0,0,190155,19451,0,0
ROI_0001__20190316T141049_20190316T142437_T19FDF,0,76930,0,860,0,138308,0,615,0,0,0,0,0,36340,0,9091
ROI_0001__20190525T141059_20190525T142053_T19FDF,0,61824,0,50027,0,64887,0,93,0,57011,0,1586,0,26673,0,43
ROI_0001__20200308T141731_20200308T143551_T19FDF,62067,200077,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0010__20190125T112341_20190125T112624_T28QFG,0,241918,0,0,0,0,0,0,0,20226,0,0,0,0,0,0
ROI_0010__20190724T112121_20190724T113118_T28QFG,0,790,0,71568,0,41,0,73897,0,1359,0,64669,0,0,0,49820
ROI_0010__20190813T112121_20190813T113228_T28QFG,4,50348,4,0,0,147850,319,0,0,0,0,0,287,62650,682,0
ROI_0010__20190907T112119_20190907T112853_T28QFG,222158,39548,438,0,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0010__20190922T112111_20190922T113547_T28QFG,0,3063,0,0,0,243045,0,0,0,0,0,0,0,16036,0,0
ROI_0011__20190130T103251_20190130T104108_T31REP,0,109464,0,2,0,8574,0,0,0,92014,0,0,0,52090,0,0
ROI_0011__20190306T103019_20190306T103540_T31REP,913,261231,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0011__20190318T102021_20190318T102646_T31REP,0,69854,0,2599,0,60691,0,23579,0,43290,0,18177,0,8744,0,35210
ROI_0011__20190517T102031_20190517T102508_T31REP,0,213041,2215,0,0,6828,0,0,0,33923,0,0,0,6137,0,0
ROI_0011__20190830T102029_20190830T102552_T31REP,0,96694,0,483,0,9664,0,0,0,102530,0,228,0,52545,0,0
