pct,n_seeds,miou_mean,pixel_acc_mean,iou_clear_mean,iou_thick_cloud_mean,iou_thin_cloud_mean,iou_cloud_shadow_mean,miou_std,pixel_acc_std,iou_clear_std,iou_thick_cloud_std,iou_thin_cloud_std,iou_cloud_shadow_std,cm_t0_p0_sum,cm_t0_p1_sum,cm_t0_p2_sum,cm_t0_p3_sum,cm_t1_p0_sum,cm_t1_p1_sum,cm_t1_p2_sum,cm_t1_p3_sum,cm_t2_p0_sum,cm_t2_p1_sum,cm_t2_p2_sum,cm_t2_p3_sum,cm_t3_p0_sum,cm_t3_p1_sum,cm_t3_p2_sum,cm_t3_p3_sum
10,10,0.571587075549444,0.8263658204690005,0.8174295873638655,0.7374293269455625,0.30926478356033443,0.4222246043280136,0.010149290027377616,0.0044514403792301925,0.0054040349353833735,0.0061875677442874,0.023526921221455478,0.009527401462719538,1251297567,46118305,25906699,39355579,39449804,636799945,23863272,30645119,74900253,45576868,86672355,12701204,53792030,41117952,10365209,137341839
20,10,0.6090115849114469,0.844063950758714,0.8368815726394478,0.7625586520765354,0.3774980606720645,0.4591080542577399,0.004017895574231175,0.0013488794251228424,0.001361164691610019,0.002350060044920095,0.012250713925555871,0.0029898894232736535,1258288703,35894781,29932329,38562337,34647531,642884236,21116976,32109397,59088816,41219353,106231524,13310987,47132834,35189455,10352776,149941965
30,10,0.6265511893769686,0.8513233536940354,0.8440709584784308,0.7716508987290045,0.41515081529309245,0.47533208500734647,0.0015646825573320882,0.0009846617476837447,0.001481859892826339,0.0015683590640883324,0.006618232522532482,0.0022026690347576074,1259473796,32773883,32648194,37782277,33246447,644037180,22420726,31053787,50994988,37835715,118311257,12708720,45224094,33252615,10061789,154078532
40,10,0.633634891042205,0.8549019748003055,0.8474012043795225,0.7762747664208498,0.42792179738894526,0.4829417959795023,0.002077231892317648,0.0006854945794946472,0.0010450577426632237,0.0021246276620142863,0.0056990153390004275,0.002710475041381982,1262575970,31749680,32457634,35894866,32763734,646277225,22050349,29666832,49327931,37153339,121749682,11619728,45167795,32878994,10125741,154444500
50,10,0.6399769977074937,0.8570303689027444,0.8495463526749075,0.7786417547958151,0.4406563680517186,0.4910635153075337,0.005174405094029748,0.0018879571007426957,0.0015473578308172395,0.003005725429420173,0.012387309514758455,0.00530605338211934,1260302368,31265995,33842357,37267430,31688540,645802823,22877717,30389060,45668400,36054644,126170493,11957143,43469151,31323273,9612942,158211664
60,10,0.6455291929843432,0.8592757290571165,0.8508815686672179,0.7809845429079612,0.45231629310249694,0.4979343672596962,0.003231604750899407,0.0010487738584142106,0.0013113199914381616,0.0013477740387622392,0.00784420297479941,0.004571902521171728,1263886336,29520363,33220472,36050979,33706839,643435037,23632111,29984153,45254110,33431982,129321512,11843076,43741981,30170569,9121092,159583388
70,10,0.6499029347230484,0.8606900446965143,0.8521865646497003,0.7836005134120788,0.4606456629607617,0.5031789978696526,0.0019382554828104167,0.0010624629905279955,0.001073198500883444,0.0026362369539940926,0.003364200137704196,0.002442930687036158,1259906473,29998227,36013153,36760297,31553167,645327356,24605642,29271975,42154910,32703435,133540653,11451682,42054300,30076633,9419451,161066646
80,10,0.6521871881224276,0.8618991574018431,0.8531305524411094,0.785365986745894,0.4638526367226204,0.5063995765800866,0.0026422777549424056,0.0010280977322329771,0.001073169040089793,0.0016150786486558292,0.005286444364300357,0.003557035667150154,1261448907,29571567,35252786,36404890,31655410,645981195,23891818,29229717,42271363,32585463,133674429,11319425,42007710,29610794,9171553,161826973
90,10,0.6536551293738887,0.8619863715538612,0.8524458893018112,0.7851592870571743,0.4666410863670138,0.5103742547695553,0.0021302449531055766,0.0011462888446217266,0.0013566770699260274,0.0019877031690386576,0.0029068287821980648,0.003228279252123039,1262207095,27898336,36635657,35937062,34185794,642541858,25007921,29022567,41769896,31217742,135769029,11094013,42058324,28477999,9444274,162636433
