epoch,step,test/mIoU,train/loss,val/loss,val/mIoU
0,9,,1.8271712064743042,,
0,19,,1.7049888372421265,,
0,29,,3.5644376277923584,,
0,39,,2.662992000579834,,
0,49,,0.9853887557983398,,
0,57,,,1.6478872299194336,0.060694195330142975
1,59,,2.2233197689056396,,
1,69,,0.9212867617607117,,
1,79,,0.6190428137779236,,
1,89,,0.9377342462539673,,
1,99,,2.1422712802886963,,
1,109,,1.5134543180465698,,
1,115,,,1.266489863395691,0.12428911030292511
2,119,,1.4997481107711792,,
2,129,,1.7160613536834717,,
2,139,,1.9473594427108765,,
2,149,,1.251686692237854,,
2,159,,1.7002604007720947,,
2,169,,0.4759761691093445,,
2,173,,,1.1922414302825928,0.1281096637248993
3,179,,0.7578250169754028,,
3,189,,0.3221817910671234,,
3,199,,0.7756829857826233,,
3,209,,1.9552191495895386,,
3,219,,2.3726248741149902,,
3,229,,0.5747603178024292,,
3,231,,,1.170080304145813,0.12499024718999863
4,239,,1.0513252019882202,,
4,249,,0.15390998125076294,,
4,259,,1.6695990562438965,,
4,269,,0.6715471744537354,,
4,279,,1.9347447156906128,,
4,289,,2.1871135234832764,,
4,289,,,1.140964388847351,0.16793189942836761
5,299,,0.9508474469184875,,
5,309,,1.4928569793701172,,
5,319,,0.7255731225013733,,
5,329,,0.6892096400260925,,
5,339,,0.8281441330909729,,
5,347,,,0.9464429616928101,0.155263289809227
6,349,,1.5585280656814575,,
6,359,,0.7119729518890381,,
6,369,,0.14166568219661713,,
6,379,,0.5379573106765747,,
6,389,,0.8798242211341858,,
6,399,,0.6046412587165833,,
6,405,,,1.0677282810211182,0.20943710207939148
7,409,,1.4073222875595093,,
7,419,,1.5590236186981201,,
7,429,,0.8118592500686646,,
7,439,,0.6699751615524292,,
7,449,,0.8947866559028625,,
7,459,,0.9871073365211487,,
7,463,,,1.3291454315185547,0.14961841702461243
8,469,,0.7059080004692078,,
8,479,,1.0256807804107666,,
8,489,,0.3805500268936157,,
8,499,,1.8385324478149414,,
8,509,,0.4756927788257599,,
8,519,,1.9313210248947144,,
8,521,,,0.9523791074752808,0.1541709154844284
9,529,,1.7760967016220093,,
9,539,,1.3456703424453735,,
9,549,,1.6609441041946411,,
9,559,,0.729572057723999,,
9,569,,0.6222284436225891,,
9,579,,0.5233618021011353,,
9,579,,,1.1199780702590942,0.11727140843868256
10,589,,0.6536099314689636,,
10,599,,1.696033239364624,,
10,609,,0.6709038019180298,,
10,619,,0.3300686776638031,,
10,629,,0.24483466148376465,,
10,637,,,1.254894495010376,0.14516803622245789
11,639,,0.41333746910095215,,
11,649,,2.2184410095214844,,
11,659,,0.6566547155380249,,
11,669,,1.454444169998169,,
11,679,,1.1692477464675903,,
11,689,,0.5813681483268738,,
11,695,,,1.1549042463302612,0.1972057819366455
12,699,,1.6460016965866089,,
12,709,,0.734653890132904,,
12,719,,0.8231500387191772,,
12,729,,0.3650533854961395,,
12,739,,0.6271899342536926,,
12,749,,0.8467156291007996,,
12,753,,,0.9882974624633789,0.1849723607301712
13,759,,0.37823039293289185,,
13,769,,1.0181992053985596,,
13,779,,0.944713294506073,,
13,789,,0.6196643114089966,,
13,799,,1.1139181852340698,,
13,809,,0.5355149507522583,,
13,811,,,0.9195243716239929,0.2427675426006317
14,819,,0.268704354763031,,
14,829,,0.3665872812271118,,
14,839,,0.30017727613449097,,
14,849,,0.6463575959205627,,
14,859,,0.27471038699150085,,
14,869,,0.5227716565132141,,
14,869,,,1.0632017850875854,0.16879913210868835
15,879,,0.10435795038938522,,
15,889,,0.11941326409578323,,
15,899,,0.7086783647537231,,
15,909,,0.7385719418525696,,
15,919,,0.7660080194473267,,
15,927,,,0.8188160061836243,0.24194581806659698
16,929,,0.3488233685493469,,
16,939,,1.152996301651001,,
16,949,,0.8877240419387817,,
16,959,,0.42760738730430603,,
16,969,,0.13675236701965332,,
16,979,,0.6412849426269531,,
16,985,,,0.8251112103462219,0.19756987690925598
17,989,,0.910997748374939,,
17,999,,0.379269540309906,,
17,1009,,0.4521716237068176,,
17,1019,,0.9380624294281006,,
17,1029,,0.8535791635513306,,
17,1039,,0.33942288160324097,,
17,1043,,,0.76963871717453,0.27974843978881836
18,1049,,0.2775111198425293,,
18,1059,,1.2160608768463135,,
18,1069,,0.18532387912273407,,
18,1079,,0.22034303843975067,,
18,1089,,0.8574579358100891,,
18,1099,,0.373054176568985,,
18,1101,,,0.7945641279220581,0.25299757719039917
19,1109,,2.508568286895752,,
19,1119,,0.33450227975845337,,
19,1129,,0.5166525840759277,,
19,1139,,0.4557929039001465,,
19,1149,,0.5077371597290039,,
19,1159,,0.9925817251205444,,
19,1159,,,0.7416773438453674,0.2742151916027069
20,1169,,0.2133234292268753,,
20,1179,,0.5380349159240723,,
20,1189,,0.308748722076416,,
20,1199,,0.8090141415596008,,
20,1209,,1.0032860040664673,,
20,1217,,,0.9909600019454956,0.23195096850395203
21,1219,,1.2691282033920288,,
21,1229,,0.4407327175140381,,
21,1239,,0.49791157245635986,,
21,1249,,0.8063163757324219,,
21,1259,,0.3477352261543274,,
21,1269,,0.14437910914421082,,
21,1275,,,0.8304681777954102,0.26902279257774353
22,1279,,0.40030330419540405,,
22,1289,,0.7953687906265259,,
22,1299,,0.051636260002851486,,
22,1309,,0.8687343597412109,,
22,1319,,0.2043936848640442,,
22,1329,,0.42080792784690857,,
22,1333,,,0.7084234952926636,0.2943325340747833
23,1339,,0.3357044756412506,,
23,1349,,0.23512321710586548,,
23,1359,,0.4975934624671936,,
23,1369,,0.8262265920639038,,
23,1379,,0.45191025733947754,,
23,1389,,0.3395681381225586,,
23,1391,,,1.1514503955841064,0.22884437441825867
24,1399,,1.0467805862426758,,
24,1409,,1.035912036895752,,
24,1419,,0.4773319363594055,,
24,1429,,0.5484715700149536,,
24,1439,,0.5521411299705505,,
24,1449,,0.6270522475242615,,
24,1449,,,0.9747271537780762,0.21607349812984467
25,1459,,0.7374560832977295,,
25,1469,,0.1672181487083435,,
25,1479,,0.184088334441185,,
25,1489,,0.8656839728355408,,
25,1499,,1.0318864583969116,,
25,1507,,,0.6983296275138855,0.3274584114551544
26,1509,,0.4233846962451935,,
26,1519,,0.5519347190856934,,
26,1529,,0.08299119770526886,,
26,1539,,0.3791930079460144,,
26,1549,,0.4086606502532959,,
26,1559,,0.03457481786608696,,
26,1565,,,0.6594183444976807,0.31783348321914673
27,1569,,0.5305218696594238,,
27,1579,,0.27105507254600525,,
27,1589,,1.4463214874267578,,
27,1599,,0.7161332368850708,,
27,1609,,0.38129639625549316,,
27,1619,,2.0265183448791504,,
27,1623,,,0.8559929132461548,0.2760264575481415
28,1629,,1.8442661762237549,,
28,1639,,0.8799079060554504,,
28,1649,,0.2034897804260254,,
28,1659,,0.7921902537345886,,
28,1669,,0.20768561959266663,,
28,1679,,0.5314584970474243,,
28,1681,,,0.7945194244384766,0.2647016644477844
29,1689,,0.6879546642303467,,
29,1699,,0.6394492983818054,,
29,1709,,0.7299050688743591,,
29,1719,,0.09298909455537796,,
29,1729,,0.09842944890260696,,
29,1739,,0.023450249806046486,,
29,1739,,,0.6983574628829956,0.31113603711128235
30,1749,,0.025930773466825485,,
30,1759,,0.11156443506479263,,
30,1769,,0.03182544559240341,,
30,1779,,0.22017249464988708,,
30,1789,,0.4873800277709961,,
30,1797,,,0.6682043075561523,0.3483792841434479
31,1799,,0.13623201847076416,,
31,1809,,0.3866799473762512,,
31,1819,,0.5742354989051819,,
31,1829,,0.27224332094192505,,
31,1839,,0.02707112580537796,,
31,1849,,0.5220493674278259,,
31,1855,,,0.7108624577522278,0.3009476661682129
32,1859,,0.36232614517211914,,
32,1869,,0.11088012903928757,,
32,1879,,0.3208911418914795,,
32,1889,,0.6539020538330078,,
32,1899,,0.6187729835510254,,
32,1909,,0.02931196428835392,,
32,1913,,,0.7453646659851074,0.3253958225250244
33,1919,,0.4969651699066162,,
33,1929,,0.34822311997413635,,
33,1939,,0.8195140361785889,,
33,1949,,0.3041183054447174,,
33,1959,,0.12256024777889252,,
33,1969,,0.17501762509346008,,
33,1971,,,0.8241546750068665,0.3005819022655487
34,1979,,0.8139098882675171,,
34,1989,,0.22409766912460327,,
34,1999,,0.13556012511253357,,
34,2009,,0.3393234610557556,,
34,2019,,0.656225860118866,,
34,2029,,0.5504652857780457,,
34,2029,,,0.7300991415977478,0.3242250084877014
35,2039,,0.2359333634376526,,
35,2049,,0.5995617508888245,,
35,2059,,0.17563889920711517,,
35,2069,,0.4936691224575043,,
35,2079,,0.7839917540550232,,
35,2087,,,0.6548270583152771,0.3364879786968231
36,2089,,0.5090562105178833,,
36,2099,,0.31939059495925903,,
36,2109,,0.2420956790447235,,
36,2119,,0.4154099225997925,,
36,2129,,0.3878931403160095,,
36,2139,,0.29578182101249695,,
36,2145,,,0.7877401113510132,0.31330081820487976
37,2149,,0.3328031301498413,,
37,2159,,0.19643796980381012,,
37,2169,,0.8485865592956543,,
37,2179,,0.5863971710205078,,
37,2189,,0.5563032627105713,,
37,2199,,0.4549606740474701,,
37,2203,,,0.7489311695098877,0.34001535177230835
38,2209,,0.29879704117774963,,
38,2219,,0.24888461828231812,,
38,2229,,0.07875525951385498,,
38,2239,,0.651284396648407,,
38,2249,,0.14375270903110504,,
38,2259,,0.02414240688085556,,
38,2261,,,0.7152238488197327,0.32213491201400757
39,2269,,0.4193596839904785,,
39,2279,,0.42931947112083435,,
39,2289,,0.08485583961009979,,
39,2299,,0.31210508942604065,,
39,2309,,0.12216223776340485,,
39,2319,,0.2123187631368637,,
39,2319,,,0.8337923288345337,0.338922917842865
40,2329,,0.15172190964221954,,
40,2339,,0.08399009704589844,,
40,2349,,0.1830458790063858,,
40,2359,,0.3330096900463104,,
40,2369,,0.03093853034079075,,
40,2377,,,0.7407879829406738,0.3174898326396942
41,2379,,0.047651469707489014,,
41,2389,,0.23932810127735138,,
41,2399,,0.023609083145856857,,
41,2409,,0.46553662419319153,,
41,2419,,0.20980922877788544,,
41,2429,,0.21833497285842896,,
41,2435,,,0.7724610567092896,0.3536178469657898
42,2439,,0.27891287207603455,,
