id,cm_t0_p0,cm_t0_p1,cm_t0_p2,cm_t0_p3,cm_t1_p0,cm_t1_p1,cm_t1_p2,cm_t1_p3,cm_t2_p0,cm_t2_p1,cm_t2_p2,cm_t2_p3,cm_t3_p0,cm_t3_p1,cm_t3_p2,cm_t3_p3
ROI_0001__20190212T142031_20190212T143214_T19FDF,0,1080,1664,177248,0,0,0,0,0,2779,1953,77420,0,0,0,0
ROI_0001__20190304T142031_20190304T142654_T19FDF,0,73,1916,10847,0,1980,24785,12936,0,1,0,0,0,7,892,208707
ROI_0001__20190316T141049_20190316T142437_T19FDF,2624,0,137,75029,0,51919,17753,69251,0,0,0,0,0,0,35,45396
ROI_0001__20190525T141059_20190525T142053_T19FDF,0,1734,0,110117,0,46743,0,18237,0,19003,0,39594,0,0,0,26716
ROI_0001__20200308T141731_20200308T143551_T19FDF,0,11150,193,250801,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0010__20190125T112341_20190125T112624_T28QFG,0,241918,0,0,0,0,0,0,0,20226,0,0,0,0,0,0
ROI_0010__20190724T112121_20190724T113118_T28QFG,0,72358,0,0,0,73603,335,0,0,66028,0,0,0,49820,0,0
ROI_0010__20190813T112121_20190813T113228_T28QFG,0,40803,8849,704,0,114598,19444,14127,0,0,0,0,0,27519,8485,27615
ROI_0010__20190907T112119_20190907T112853_T28QFG,0,253365,0,8779,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0010__20190922T112111_20190922T113547_T28QFG,0,2589,474,0,0,212762,25637,4646,0,0,0,0,0,2795,5373,7868
ROI_0011__20190130T103251_20190130T104108_T31REP,0,104248,5208,10,0,8378,196,0,0,89837,1989,188,0,34995,14673,2422
ROI_0011__20190306T103019_20190306T103540_T31REP,0,248653,2,13489,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0011__20190318T102021_20190318T102646_T31REP,0,17549,6626,48278,0,60355,0,23915,0,39322,368,21777,0,0,0,43954
ROI_0011__20190517T102031_20190517T102508_T31REP,0,212657,1865,734,0,6828,0,0,0,33923,0,0,0,6137,0,0
ROI_0011__20190830T102029_20190830T102552_T31REP,0,95916,133,1128,0,9664,0,0,0,102758,0,0,0,44353,1123,7069
ROI_0032__20190315T032531_20190315T033351_T49TFH,0,61103,1805,79287,0,0,0,0,0,108213,0,1753,0,1872,0,8111
ROI_0032__20190330T032539_20190330T033305_T49TFH,4213,667,50497,81513,0,19746,32142,6228,0,0,0,0,0,237,6080,60821
ROI_0032__20190713T032541_20190713T033534_T49TFH,45836,7680,32004,52771,0,55179,13029,5724,0,0,0,0,342,1779,1998,45802
ROI_0032__20190817T032539_20190817T033403_T49TFH,39771,3487,14320,105028,0,30222,20118,6202,0,0,0,0,50,915,1191,40840
ROI_0032__20191110T032951_20191110T033139_T49TFH,12638,0,0,249506,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0044__20190327T100029_20190327T101005_T32QMM,0,36405,643,499,0,97067,48,278,0,0,0,0,0,88436,2323,36445
ROI_0044__20190526T100039_20190526T100712_T32QMM,0,4780,2592,5635,0,122171,32824,17505,0,0,0,0,0,3648,11352,61637
ROI_0044__20190908T100031_20190908T100836_T32QMM,0,2989,63,11,0,177961,9068,16338,0,0,0,0,0,4768,1130,49816
ROI_0044__20200106T100401_20200106T100404_T32QMM,0,262088,56,0,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0044__20200321T100029_20200321T100458_T32QMM,0,191714,2095,159,0,27308,0,0,0,0,0,0,0,11093,12760,17015
ROI_0064__20181217T015619_20181217T020219_T51JVH,1567,34760,51916,15836,18,69054,33405,5116,0,0,0,0,0,8268,15695,26509
ROI_0064__20190317T015619_20190317T020354_T51JVH,0,49044,17698,15468,0,0,0,0,0,154340,17599,7995,0,0,0,0
ROI_0064__20190615T015629_20190615T020446_T51JVH,116742,4168,5829,35723,626,64546,8327,1079,7264,9947,3752,3006,237,86,701,111
ROI_0064__20190622T014709_20190622T015123_T51JVH,0,125875,54227,82042,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0064__20191102T015619_20191102T020403_T51JVH,17098,20421,56168,26994,0,46052,36980,8737,0,0,0,0,0,1911,5851,41932
ROI_0065__20190101T142749_20190101T143756_T19HCA,226379,2015,26476,7274,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0065__20190116T142751_20190116T143701_T19HCA,134261,3476,2873,30576,7615,17328,3785,9863,84,2029,2406,13001,9599,4432,1159,19657
ROI_0065__20190404T143759_20190404T144906_T19HCA,174786,32522,19629,1470,4797,14694,824,962,0,0,0,0,5510,2297,429,4224
ROI_0065__20200129T143659_20200129T144449_T19HCA,2917,402,9522,19522,0,28709,128889,15941,0,0,0,0,0,81,8593,47568
ROI_0065__20200410T142731_20200410T143742_T19HCA,4423,44791,39195,16579,274,82631,4284,8147,0,0,0,0,6,14105,6654,41055
ROI_0069__20190516T151709_20190516T152114_T18LTM,0,146,204,137197,0,37971,12517,6307,0,13226,22561,32015,0,0,0,0
ROI_0069__20190913T151709_20190913T152341_T18LTM,0,2183,1497,56749,0,140086,52582,9047,0,0,0,0,0,0,0,0
ROI_0069__20200225T151701_20200225T152133_T18LTM,238607,530,332,4207,1079,6146,1802,1978,0,0,0,0,1802,2522,948,2191
ROI_0069__20200510T151659_20200510T152614_T18LTM,65223,135273,61646,2,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0069__20200624T151711_20200624T151850_T18LTM,0,11176,2004,95607,0,115650,35492,2215,0,0,0,0,0,0,0,0
