id,cm_t0_p0,cm_t0_p1,cm_t0_p2,cm_t0_p3,cm_t1_p0,cm_t1_p1,cm_t1_p2,cm_t1_p3,cm_t2_p0,cm_t2_p1,cm_t2_p2,cm_t2_p3,cm_t3_p0,cm_t3_p1,cm_t3_p2,cm_t3_p3
ROI_0001__20190212T142031_20190212T143214_T19FDF,84473,0,24835,70684,0,0,0,0,39926,0,3639,38587,0,0,0,0
ROI_0001__20190304T142031_20190304T142654_T19FDF,6138,1390,1320,3988,1444,23714,7078,7465,0,1,0,0,159865,1477,1333,46931
ROI_0001__20190316T141049_20190316T142437_T19FDF,45296,42,1029,31423,2365,53098,32945,50515,0,0,0,0,25608,0,1889,17934
ROI_0001__20190525T141059_20190525T142053_T19FDF,66873,332,38871,5775,0,6767,58208,5,0,493,58072,32,4508,0,6395,15813
ROI_0001__20200308T141731_20200308T143551_T19FDF,33,0,81851,180260,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0010__20190125T112341_20190125T112624_T28QFG,196651,2383,727,42157,0,0,0,0,18170,632,14,1410,0,0,0,0
ROI_0010__20190724T112121_20190724T113118_T28QFG,0,3848,68510,0,0,9493,64445,0,0,1008,65020,0,0,0,49820,0
ROI_0010__20190813T112121_20190813T113228_T28QFG,19137,3603,26716,900,4065,59304,78095,6705,0,0,0,0,2118,3576,49211,8714
ROI_0010__20190907T112119_20190907T112853_T28QFG,225290,31,15415,21408,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0010__20190922T112111_20190922T113547_T28QFG,0,692,2371,0,121,70074,171660,1190,0,0,0,0,537,0,13864,1635
ROI_0011__20190130T103251_20190130T104108_T31REP,0,66822,42644,0,0,8030,544,0,0,44595,47419,0,0,4347,47743,0
ROI_0011__20190306T103019_20190306T103540_T31REP,180204,82,71901,9957,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0011__20190318T102021_20190318T102646_T31REP,15752,11486,13387,31828,0,60294,7462,16514,0,32889,11320,17258,0,0,14142,29812
ROI_0011__20190517T102031_20190517T102508_T31REP,0,70984,142364,1908,0,243,6585,0,0,4484,29112,327,0,350,4981,806
ROI_0011__20190830T102029_20190830T102552_T31REP,0,6110,91067,0,0,6480,3184,0,0,40335,62423,0,0,1483,51062,0
ROI_0032__20190315T032531_20190315T033351_T49TFH,127801,2805,11589,0,0,0,0,0,33426,40658,35882,0,9983,0,0,0
ROI_0032__20190330T032539_20190330T033305_T49TFH,128763,580,3961,3586,5525,26387,21627,4577,0,0,0,0,9559,468,4128,52983
ROI_0032__20190713T032541_20190713T033534_T49TFH,120988,897,10253,6153,4542,49755,16286,3349,0,0,0,0,12388,547,2001,34985
ROI_0032__20190817T032539_20190817T033403_T49TFH,154735,227,3150,4494,11009,22531,16727,6275,0,0,0,0,12754,1587,3082,25573
ROI_0032__20191110T032951_20191110T033139_T49TFH,262144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0044__20190327T100029_20190327T101005_T32QMM,0,25312,10689,1546,0,8540,88853,0,0,0,0,0,0,11544,108496,7164
ROI_0044__20190526T100039_20190526T100712_T32QMM,0,1522,6282,5203,0,55057,102072,15371,0,0,0,0,0,1979,14286,60372
ROI_0044__20190908T100031_20190908T100836_T32QMM,0,60,3003,0,0,16983,186384,0,0,0,0,0,0,54,55660,0
ROI_0044__20200106T100401_20200106T100404_T32QMM,112071,603,147793,1677,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0044__20200321T100029_20200321T100458_T32QMM,167645,14138,9557,2628,12237,1677,12836,558,0,0,0,0,4476,1046,8056,27290
ROI_0064__20181217T015619_20181217T020219_T51JVH,1263,28,102788,0,0,20641,86952,0,0,0,0,0,0,233,50235,4
