id,miou,pixel_acc,iou_clear,iou_thick_cloud,iou_thin_cloud,iou_cloud_shadow
ROI_0001__20190212T142031_20190212T143214_T19FDF,0.10441789393295665,0.3009490966796875,0.0,0.0,0.31325368179887,
ROI_0001__20190304T142031_20190304T142654_T19FDF,0.2318239644894025,0.7072563171386719,0.0,0.12626180701995185,3.6934441366574334e-05,0.8009971164962917
ROI_0001__20190316T141049_20190316T142437_T19FDF,0.09872653068200313,0.21669769287109375,0.0,0.11613242612806546,0.0,0.27877369659994705
ROI_0001__20190525T141059_20190525T142053_T19FDF,0.1137806408807216,0.24793243408203125,0.0,0.002875575348476785,0.32475982988191393,0.1274871582924957
ROI_0001__20200308T141731_20200308T143551_T19FDF,0.0,0.0,0.0,0.0,0.0,
ROI_0010__20190125T112341_20190125T112624_T28QFG,0.024870549110092833,0.07006454467773438,0.0,0.0,0.0746116473302785,
ROI_0010__20190724T112121_20190724T113118_T28QFG,0.06261740045521338,0.202972412109375,0.0,0.18463369884218425,0.0658359029786693,0.0
ROI_0010__20190813T112121_20190813T113228_T28QFG,0.09932553106954532,0.3929023742675781,0.0,0.3973021242781813,0.0,0.0
ROI_0010__20190907T112119_20190907T112853_T28QFG,0.0,0.0,0.0,0.0,0.0,
ROI_0010__20190922T112111_20190922T113547_T28QFG,0.00701933545787604,0.02695465087890625,0.0,0.02807734183150416,0.0,0.0
ROI_0011__20190130T103251_20190130T104108_T31REP,0.09788683791566104,0.3016548156738281,0.0,0.03465677719604421,0.35689057446659994,0.0
ROI_0011__20190306T103019_20190306T103540_T31REP,0.0,0.0,0.0,0.0,0.0,
ROI_0011__20190318T102021_20190318T102646_T31REP,0.0655226572274322,0.16034698486328125,0.0,0.07145221709208119,0.19063841181764762,0.0
ROI_0011__20190517T102031_20190517T102508_T31REP,0.10474962148825212,0.114013671875,0.0,0.0,0.4189984859530085,0.0
ROI_0011__20190830T102029_20190830T102552_T31REP,0.11316215686672398,0.29985809326171875,0.0,0.0026147112342420615,0.4500339162326539,0.0
ROI_0032__20190315T032531_20190315T033351_T49TFH,0.16376155998238479,0.3858451843261719,0.0,0.0,0.6550462399295391,0.0
ROI_0032__20190330T032539_20190330T033305_T49TFH,0.2593476210900981,0.43437957763671875,0.2550655194074767,0.17526045525710493,0.0,0.6070645096958108
ROI_0032__20190713T032541_20190713T033534_T49TFH,0.16559452703925615,0.2297210693359375,0.11634885856635645,0.032231460372804076,0.0,0.513797789217864
ROI_0032__20190817T032539_20190817T033403_T49TFH,0.21286185362149818,0.4420623779296875,0.627015718105195,0.01479134737036999,0.0,0.20964034901042775
ROI_0032__20191110T032951_20191110T033139_T49TFH,1.0,1.0,1.0,,,
ROI_0044__20190327T100029_20190327T101005_T32QMM,0.019223513311291737,0.045867919921875,0.0,0.07689405324516695,0.0,0.0
ROI_0044__20190526T100039_20190526T100712_T32QMM,0.09900588617996066,0.3690948486328125,0.0,0.3651773208799882,0.0,0.030846223839854414
ROI_0044__20190908T100031_20190908T100836_T32QMM,0.02189030266562957,0.06827926635742188,0.0,0.08756121066251828,0.0,0.0
ROI_0044__20200106T100401_20200106T100404_T32QMM,0.0,0.0,0.0,0.0,0.0,
ROI_0044__20200321T100029_20200321T100458_T32QMM,0.02158797967057542,0.07291793823242188,0.0,0.07167050535157837,0.0,0.014681413330723304
ROI_0064__20181217T015619_20181217T020219_T51JVH,0.009654561065566676,0.02301788330078125,0.0,0.03822198495017287,0.0,0.0003962593120938342
ROI_0064__20190317T015619_20190317T020354_T51JVH,0.229008703809207,0.6854248046875,0.0,0.0,0.6870261114276209,
ROI_0064__20190615T015629_20190615T020446_T51JVH,0.05347026875563835,0.09730911254882812,0.008032647634523766,0.15347920851981414,0.0505776512867514,0.0017915675814641043
ROI_0064__20190622T014709_20190622T015123_T51JVH,0.0,0.0,0.0,0.0,0.0,
ROI_0064__20191102T015619_20191102T020403_T51JVH,0.14293454493486749,0.189178466796875,0.0,0.12777710360896052,0.0,0.44396107613050945
ROI_0065__20190101T142749_20190101T143756_T19HCA,0.022106170654296875,0.06631851196289062,0.06631851196289062,0.0,0.0,
ROI_0065__20190116T142751_20190116T143701_T19HCA,0.19318927750409506,0.4287605285644531,0.5068188631645634,0.16425370949947088,0.10157960280526972,0.00010493454707626119
ROI_0065__20190404T143759_20190404T144906_T19HCA,0.007053291536050157,0.006317138671875,0.0,0.02821316614420063,0.0,0.0
ROI_0065__20200129T143659_20200129T144449_T19HCA,0.17463672492720966,0.3167381286621094,0.18961741986497171,0.28095529591284524,0.0,0.22797418393102165
ROI_0065__20200410T142731_20200410T143742_T19HCA,0.011739728243286961,0.011074066162109375,0.0,0.0,0.0,0.046958912973147846
ROI_0069__20190516T151709_20190516T152114_T18LTM,0.20185622439787787,0.2911415100097656,0.0,0.4277176164270075,0.1778510567666261,
ROI_0069__20190913T151709_20190913T152341_T18LTM,0.00703085700024567,0.020633697509765625,0.0,0.021092571000737012,0.0,
ROI_0069__20200225T151701_20200225T152133_T18LTM,0.33781441269012846,0.9320831298828125,0.972086285394298,0.21912613355317395,0.0,0.16004523181304184
ROI_0069__20200510T151659_20200510T152614_T18LTM,0.056671142578125,0.11334228515625,0.11334228515625,,0.0,
ROI_0069__20200624T151711_20200624T151850_T18LTM,0.0881717709093477,0.22861480712890625,0.0,0.3526870836373908,0.0,0.0
ROI_0079__20190120T203751_20190120T203749_T08VMM,0.00026660924313737553,9.918212890625e-05,0.0,0.0007998277294121266,0.0,
ROI_0079__20190624T202849_20190624T203750_T08VMM,0.1263629880605634,0.49048614501953125,0.0,0.49594542212574616,0.009506530116507475,0.0
ROI_0079__20190706T201851_20190706T202346_T08VMM,0.0009759313922414546,0.001705169677734375,0.0,0.0039037255689658183,0.0,0.0
ROI_0079__20200630T201851_20200630T202618_T08VMM,0.03849768940634924,0.10973739624023438,0.0027743526510480886,0.10073090934403787,0.04911304499426131,0.0013724506360497035
ROI_0079__20200725T201849_20200725T202524_T08VMM,0.0007298943009286991,0.002361297607421875,0.0,0.0029195772037147964,0.0,0.0
ROI_0085__20190623T182921_20190623T183717_T11TPJ,0.009342965905481728,0.030971527099609375,0.0,0.03737186362192691,0.0,0.0
ROI_0085__20190822T182921_20190822T183216_T11TPJ,0.1687617678069248,0.1618499755859375,0.05657243251876697,0.04626511489940849,0.0,0.5722095238095238
ROI_0085__20190911T182921_20190911T183249_T11TPJ,0.10329769282935185,0.4031562805175781,0.0033184593327641476,0.40987231198464324,0.0,0.0
ROI_0085__20200602T182919_20200602T183556_T11TPJ,0.0,0.0,0.0,,0.0,
ROI_0085__20200707T182921_20200707T183250_T11TPJ,0.27017447136790734,0.7336082458496094,0.8530430685660441,0.04766639610389611,0.0,0.1799884208016892
ROI_0106__20190509T152649_20190509T152958_T18LTN,0.0,0.0,0.0,,0.0,
ROI_0106__20191220T152631_20191220T153056_T18LTN,0.0711060315192974,0.11566543579101562,0.0,0.007767887666341686,0.0,0.2766562384108479
ROI_0106__20200304T152639_20200304T153356_T18LTN,0.02870703051451741,0.06388092041015625,0.0,0.04125392459902159,0.0,0.07357419745904804
ROI_0106__20200612T152639_20200612T153318_T18LTN,0.03264544731637009,0.045230865478515625,0.0,0.12953160890841905,0.0,0.0010501803570613214
ROI_0106__20200617T152651_20200617T152645_T18LTN,0.34757118068535836,0.797454833984375,0.253955737791095,0.7887578042649801,0.0,
ROI_0120__20190302T045721_20190302T050545_T45TXE,0.0,0.0,0.0,0.0,0.0,
ROI_0120__20190829T045701_20190829T045729_T45TXE,0.04797407178359559,0.1917572021484375,0.0,0.0,0.19189628713438237,0.0
ROI_0120__20191008T045701_20191008T050028_T45TXE,0.03479468592729541,0.12384033203125,0.0,0.051516603642885274,0.08766214006629637,0.0
ROI_0120__20191020T044819_20191020T044922_T45TXE,0.15653463609475504,0.4947090148925781,0.0,0.13531241547200432,0.4908261289070158,0.0
ROI_0120__20191219T045209_20191219T045214_T45TXE,0.0,0.0,0.0,,0.0,
ROI_0141__20181226T141039_20181226T142041_T19FDE,0.0,0.0,0.0,0.0,0.0,
ROI_0141__20190316T141049_20190316T142437_T19FDE,0.05474944465964158,0.21135711669921875,0.0,0.0,0.21899777863856631,0.0
ROI_0141__20190420T141051_20190420T142048_T19FDE,0.15620442603811205,0.31656646728515625,0.1624558446448744,0.2825989116648255,0.0,0.17976294784274835
ROI_0141__20191126T141051_20191126T142045_T19FDE,0.27751544905685166,0.7649421691894531,0.0,0.0,0.7463205426916019,0.36374125353580467
ROI_0141__20200419T141039_20200419T142040_T19FDE,0.14839985520662727,0.3815879821777344,0.0,0.0,0.4451995656198818,
ROI_0153__20190405T141049_20190405T142048_T20JPM,0.32977742591544534,0.7792587280273438,0.8041806283311219,0.0,0.5149290753306595,0.0
ROI_0153__20190709T141051_20190709T141051_T20JPM,0.10786338812741463,0.4124946594238281,0.4311345478043391,0.0,0.0003190047053194035,0.0
ROI_0153__20191201T141039_20191201T142051_T20JPM,0.2772276213186482,0.7224464416503906,0.8316828639559446,0.0,0.0,
ROI_0153__20200411T140051_20200411T140833_T20JPM,0.44112586975097656,0.8822517395019531,0.8822517395019531,,0.0,
ROI_0153__20200628T141049_20200628T141048_T20JPM,0.11053294167016366,0.442108154296875,0.0,0.0,0.4421317666806546,0.0
ROI_0154__20190326T141049_20190326T141445_T20HNJ,0.17457803149670614,0.44451904296875,0.566686962010468,0.10055166244222453,0.0,0.031073501534131995
ROI_0154__20191113T140051_20191113T140054_T20HNJ,0.05623881231099119,0.12493896484375,0.0968170444130943,0.053613245706201886,0.07452495912466857,0.0
ROI_0154__20191231T141039_20191231T142033_T20HNJ,0.24272151089525015,0.8764457702636719,0.9286963934160054,0.04064587973273942,0.0,0.001543770432255721
ROI_0154__20200120T140639_20200120T141746_T20HNJ,0.1597233309715832,0.34336090087890625,0.28310731010142326,0.354084969367428,0.0017010444174815026,0.0
ROI_0154__20200201T135641_20200201T140849_T20HNJ,0.48288917541503906,0.9657783508300781,0.9657783508300781,,0.0,
ROI_0159__20190718T143751_20190718T144610_T19HBV,0.02175484445219641,0.05771636962890625,0.07821443827424178,0.00880493953454386,0.0,0.0
ROI_0159__20191016T143731_20191016T144649_T18HYE,0.11222250692329924,0.19040679931640625,0.2731933190011576,0.17569670869203935,0.0,0.0
ROI_0159__20200129T143659_20200129T144449_T18HYE,1.0,1.0,1.0,,,
ROI_0159__20200403T143721_20200403T144642_T19HBV,0.30978250129568813,0.6195564270019531,0.6195549757193592,,1.0026872017005574e-05,
ROI_0159__20200607T143729_20200607T144648_T19HBV,0.05598867660399527,0.0989532470703125,0.0,0.08300178525886254,0.0,0.14095292115711855
ROI_0165__20190224T145721_20190224T150622_T19LBD,0.4311128788802918,0.7009773254394531,0.7790147487023674,0.38543627761790955,0.0,0.5600004892008903
ROI_0165__20190331T145729_20190331T150118_T19LBD,0.17932912569539625,0.4574432373046875,0.11922740205734296,0.4342517074324524,0.0,0.16383739329178956
ROI_0165__20190917T145729_20190917T150535_T19LBD,0.09447860717773438,0.18895721435546875,0.18895721435546875,,0.0,
ROI_0165__20191022T145731_20191022T150543_T19LBD,0.32945933044804676,0.7260169982910156,0.882113185466175,0.058805194805194805,0.0,0.3769189415208172
ROI_0165__20191221T145721_20191221T145719_T19LBD,0.19504064277441469,0.37360382080078125,0.3555830802382205,0.09186845783063803,0.32917455548238395,0.003536477546416268
ROI_0197__20190609T175919_20190609T180009_T14VPM,0.003675774992537031,0.013339996337890625,0.0,0.014703099970148124,0.0,0.0
ROI_0197__20190621T174911_20190621T175233_T14VPM,0.14154238551210152,0.2738761901855469,0.2801488409670002,0.08188891456744472,0.0,0.20413178651396116
ROI_0197__20190714T175921_20190714T180011_T14VPM,0.009788166705504236,0.033969879150390625,0.0,0.03915266682201694,0.0,0.0
ROI_0197__20200712T173911_20200712T174044_T14VPM,0.0,0.0,0.0,,0.0,0.0
ROI_0197__20200720T174909_20200720T174909_T14VPM,0.06576173903416974,0.14382553100585938,0.104827905444802,0.106466790677317,0.0,0.05175226001455993
ROI_0201__20190902T161901_20190902T162451_T16TGL,0.13664925313088122,0.3337364196777344,0.2779905700074447,0.2686064425160802,0.0,0.0
ROI_0201__20190922T162001_20190922T162717_T16TGL,1.0,1.0,1.0,,,
ROI_0201__20191101T162431_20191101T162426_T17TKF,0.2067128900880006,0.7729225158691406,0.82201662796551,0.004834932386492408,0.0,0.0
ROI_0201__20200320T161951_20200320T162706_T16TGL,0.06375781779853495,0.14849472045898438,0.0,0.008775444391240192,0.1290277406459662,0.11722808615693342
ROI_0201__20200402T162851_20200402T164102_T17TKF,0.25951844984661865,0.5166740417480469,0.6450018087543712,0.285174135537738,0.0,0.10789785509436554
ROI_0212__20190523T053651_20190523T053645_T48XVG,0.0837240219116211,0.3348960876464844,0.0,0.0,0.3348960876464844,0.0
ROI_0212__20190812T055639_20190812T055642_T48XVG,0.0,0.0,0.0,0.0,0.0,0.0
ROI_0212__20190824T054641_20190824T054640_T48XVG,0.003915600848095205,0.002620697021484375,0.0,0.01566240339238082,0.0,0.0
ROI_0212__20190917T052651_20190917T052645_T48XVG,0.03001220929087651,0.11627578735351562,0.0,0.12004883716350603,0.0,0.0
ROI_0212__20190920T053641_20190920T053750_T48XVG,0.00634122789622975,0.01122283935546875,0.0,0.025364911584919,0.0,0.0
ROI_0235__20190607T053649_20190607T053649_T44UNV,0.11332673256098204,0.219451904296875,0.0,0.17169820945773606,0.0,0.2816087207861921
ROI_0235__20200402T053639_20200402T053638_T44UNV,0.20027542114257812,0.8011016845703125,0.0,0.0,0.8011016845703125,0.0
ROI_0235__20200512T053639_20200512T054139_T44UNV,0.0,0.0,0.0,0.0,0.0,
ROI_0235__20200601T053649_20200601T053643_T44UNV,0.05019705554563841,0.05036163330078125,0.0,0.016957514769242548,0.022640018066847335,0.16119068934646374
ROI_0235__20200711T053649_20200711T053643_T44UNV,0.34167311870077927,0.7488212585449219,0.8035183269390462,0.25064670182071436,0.21359810985491964,0.09892933618843683
ROI_0243__20180516T090549_20180516T091106_T35TLJ,0.15762621452902253,0.5130729675292969,0.5542441741845633,0.0762606839315269,0.0,0.0
ROI_0243__20180802T092031_20180802T092224_T35TLJ,0.11030813163167409,0.2592811584472656,0.13686158040800428,0.2220670862368603,0.04855521836653912,0.03374864151529266
ROI_0243__20190524T092039_20190524T092605_T35TLJ,0.013350657704018483,0.03491973876953125,0.0,0.037962136980870254,0.015440493835203675,0.0
ROI_0243__20190728T092031_20190728T092427_T35TLJ,0.3211669921875,0.9635009765625,0.9635009765625,,0.0,0.0
ROI_0243__20191001T092029_20191001T092623_T35TLJ,0.233652839924754,0.6943283081054688,0.7312244824869278,0.0,0.2033868772120882,0.0
ROI_0245__20180213T110141_20180213T110143_T31UDR,0.1828050454353776,0.6747016906738281,0.0,0.0,0.7312201817415104,0.0
ROI_0245__20180526T105029_20180526T105635_T31UDR,0.46936607360839844,0.9387321472167969,0.9387321472167969,,0.0,
ROI_0245__20180625T105029_20180625T105253_T31UDR,0.24185133001045322,0.7290573120117188,0.7973717566196104,0.17003356342220252,0.0,0.0
ROI_0245__20190708T105621_20190708T110438_T31UDR,0.2572368435345513,0.5946998596191406,0.6856114084337481,0.2430585411292634,0.0,0.10027742457519362
