id,cm_t0_p0,cm_t0_p1,cm_t0_p2,cm_t0_p3,cm_t1_p0,cm_t1_p1,cm_t1_p2,cm_t1_p3,cm_t2_p0,cm_t2_p1,cm_t2_p2,cm_t2_p3,cm_t3_p0,cm_t3_p1,cm_t3_p2,cm_t3_p3
ROI_0001__20190212T142031_20190212T143214_T19FDF,169161,0,10791,40,0,0,0,0,82152,0,0,0,0,0,0,0
ROI_0001__20190304T142031_20190304T142654_T19FDF,2897,375,3005,6559,0,10658,21592,7451,0,0,1,0,1527,0,5626,202453
ROI_0001__20190316T141049_20190316T142437_T19FDF,7858,99,14,69819,23,67550,3140,68210,0,0,0,0,0,1,565,44865
ROI_0001__20190525T141059_20190525T142053_T19FDF,87216,143,23639,853,37,36035,28908,0,555,9850,48183,9,13644,0,9038,4034
ROI_0001__20200308T141731_20200308T143551_T19FDF,140006,0,115923,6215,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0010__20190125T112341_20190125T112624_T28QFG,207699,20124,14095,0,0,0,0,0,15064,4071,1091,0,0,0,0,0
ROI_0010__20190724T112121_20190724T113118_T28QFG,0,142,72216,0,0,7392,66546,0,0,2228,63800,0,0,331,49489,0
ROI_0010__20190813T112121_20190813T113228_T28QFG,7458,51,42662,185,614,33616,113898,41,0,0,0,0,0,378,63159,82
ROI_0010__20190907T112119_20190907T112853_T28QFG,218972,0,43172,0,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0010__20190922T112111_20190922T113547_T28QFG,0,198,2865,0,2532,40140,200373,0,0,0,0,0,6072,0,9964,0
ROI_0011__20190130T103251_20190130T104108_T31REP,1,25260,84205,0,0,6210,2364,0,0,21173,70841,0,0,12,52078,0
ROI_0011__20190306T103019_20190306T103540_T31REP,223901,0,38243,0,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0011__20190318T102021_20190318T102646_T31REP,59781,3755,8701,216,0,61452,22409,409,13174,30703,17590,0,17102,0,26845,7
ROI_0011__20190517T102031_20190517T102508_T31REP,0,6039,209217,0,0,5268,1560,0,0,12874,21049,0,0,1141,4996,0
ROI_0011__20190830T102029_20190830T102552_T31REP,54,34042,63081,0,0,9664,0,0,0,97271,5487,0,0,30623,21922,0
ROI_0032__20190315T032531_20190315T033351_T49TFH,141631,251,302,11,0,0,0,0,99297,10308,361,0,9983,0,0,0
ROI_0032__20190330T032539_20190330T033305_T49TFH,129851,535,3355,3149,5797,22854,22911,6554,0,0,0,0,12244,973,2651,51270
ROI_0032__20190713T032541_20190713T033534_T49TFH,106024,4847,9990,17430,2233,49310,17392,4997,0,0,0,0,7154,1348,676,40743
ROI_0032__20190817T032539_20190817T033403_T49TFH,150675,852,1523,9556,15966,32160,7675,741,0,0,0,0,9070,947,851,32128
ROI_0032__20191110T032951_20191110T033139_T49TFH,262139,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0044__20190327T100029_20190327T101005_T32QMM,0,1421,30047,6079,0,225,97168,0,0,0,0,0,0,8,127174,22
