id,cm_t0_p0,cm_t0_p1,cm_t0_p2,cm_t0_p3,cm_t1_p0,cm_t1_p1,cm_t1_p2,cm_t1_p3,cm_t2_p0,cm_t2_p1,cm_t2_p2,cm_t2_p3,cm_t3_p0,cm_t3_p1,cm_t3_p2,cm_t3_p3
ROI_0001__20190212T142031_20190212T143214_T19FDF,0,498,125950,53544,0,0,0,0,0,1764,46749,33639,0,0,0,0
ROI_0001__20190304T142031_20190304T142654_T19FDF,0,334,4275,8227,0,12891,21902,4908,0,0,1,0,0,130,8815,200661
ROI_0001__20190316T141049_20190316T142437_T19FDF,0,170,17295,60325,0,62640,64101,12182,0,0,0,0,0,3,10644,34784
ROI_0001__20190525T141059_20190525T142053_T19FDF,0,414,111437,0,0,54145,10835,0,0,16715,41882,0,0,3,26713,0
ROI_0001__20200308T141731_20200308T143551_T19FDF,0,572,261572,0,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0010__20190125T112341_20190125T112624_T28QFG,0,184995,56923,0,0,0,0,0,0,19395,831,0,0,0,0,0
ROI_0010__20190724T112121_20190724T113118_T28QFG,0,39321,33037,0,0,60504,13434,0,0,56376,9652,0,0,25295,24525,0
ROI_0010__20190813T112121_20190813T113228_T28QFG,0,141,50215,0,0,47388,100172,609,0,0,0,0,0,805,62814,0
ROI_0010__20190907T112119_20190907T112853_T28QFG,0,102587,159557,0,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0010__20190922T112111_20190922T113547_T28QFG,0,34,3029,0,0,80294,162751,0,0,0,0,0,0,0,16036,0
ROI_0011__20190130T103251_20190130T104108_T31REP,0,65520,43946,0,0,7762,812,0,0,49567,42447,0,0,5661,46429,0
ROI_0011__20190306T103019_20190306T103540_T31REP,0,55207,206937,0,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0011__20190318T102021_20190318T102646_T31REP,0,1610,70843,0,0,60177,24093,0,0,27245,34222,0,0,0,43954,0
ROI_0011__20190517T102031_20190517T102508_T31REP,0,95274,119982,0,0,6648,180,0,0,31387,2536,0,0,5960,177,0
ROI_0011__20190830T102029_20190830T102552_T31REP,0,11644,85533,0,0,9061,603,0,0,55679,47079,0,0,17766,34779,0
ROI_0032__20190315T032531_20190315T033351_T49TFH,0,31276,98497,12422,0,0,0,0,0,86693,23273,0,0,553,6730,2700
ROI_0032__20190330T032539_20190330T033305_T49TFH,0,746,76773,59371,0,23421,32424,2271,0,0,0,0,0,623,17603,48912
ROI_0032__20190713T032541_20190713T033534_T49TFH,0,2886,71603,63802,0,55348,15899,2685,0,0,0,0,0,1099,12319,36503
ROI_0032__20190817T032539_20190817T033403_T49TFH,0,538,83987,78081,0,17223,35716,3603,0,0,0,0,0,295,38065,4636
ROI_0032__20191110T032951_20191110T033139_T49TFH,0,0,262144,0,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0044__20190327T100029_20190327T101005_T32QMM,0,1374,36173,0,0,39275,58118,0,0,0,0,0,0,375,126829,0
ROI_0044__20190526T100039_20190526T100712_T32QMM,0,0,13007,0,0,45552,126446,502,0,0,0,0,0,0,66804,9833
ROI_0044__20190908T100031_20190908T100836_T32QMM,0,0,3063,0,0,11175,192192,0,0,0,0,0,0,0,55714,0
ROI_0044__20200106T100401_20200106T100404_T32QMM,0,261267,877,0,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0044__20200321T100029_20200321T100458_T32QMM,0,162731,31123,114,0,21059,5209,1040,0,0,0,0,0,2414,38454,0
ROI_0064__20181217T015619_20181217T020219_T51JVH,0,1007,103072,0,0,59383,48210,0,0,0,0,0,0,5122,45350,0
ROI_0064__20190317T015619_20190317T020354_T51JVH,0,625,81585,0,0,0,0,0,0,1417,178517,0,0,0,0,0
ROI_0064__20190615T015629_20190615T020446_T51JVH,0,7007,149373,6082,0,64163,10304,111,0,11223,11926,820,0,242,740,153
ROI_0064__20190622T014709_20190622T015123_T51JVH,0,83666,178478,0,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0064__20191102T015619_20191102T020403_T51JVH,0,213,120468,0,0,30789,60980,0,0,0,0,0,0,67,49627,0
ROI_0065__20190101T142749_20190101T143756_T19HCA,0,1570,260574,0,0,0,0,0,0,0,0,0,0,0,0,0
