id,cm_t0_p0,cm_t0_p1,cm_t0_p2,cm_t0_p3,cm_t1_p0,cm_t1_p1,cm_t1_p2,cm_t1_p3,cm_t2_p0,cm_t2_p1,cm_t2_p2,cm_t2_p3,cm_t3_p0,cm_t3_p1,cm_t3_p2,cm_t3_p3
ROI_0001__20190212T142031_20190212T143214_T19FDF,45468,2288,127145,5091,0,0,0,0,24728,5292,42972,9160,0,0,0,0
ROI_0001__20190304T142031_20190304T142654_T19FDF,14,0,4542,8280,0,3277,30690,5734,0,0,1,0,0,0,8529,201077
ROI_0001__20190316T141049_20190316T142437_T19FDF,1449,16,1421,74904,0,59304,24233,55386,0,0,0,0,0,0,1217,44214
ROI_0001__20190525T141059_20190525T142053_T19FDF,73993,130,37719,9,472,42267,15272,6969,4513,11515,38738,3831,4393,0,20620,1703
ROI_0001__20200308T141731_20200308T143551_T19FDF,28304,1331,232509,0,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0010__20190125T112341_20190125T112624_T28QFG,102297,47993,91628,0,0,0,0,0,12403,7202,621,0,0,0,0,0
ROI_0010__20190724T112121_20190724T113118_T28QFG,7603,25363,39392,0,0,47736,26202,0,124,41306,24598,0,23,18248,31438,111
ROI_0010__20190813T112121_20190813T113228_T28QFG,31513,671,17852,320,9506,73971,58314,6378,0,0,0,0,7817,2435,45983,7384
ROI_0010__20190907T112119_20190907T112853_T28QFG,190153,32812,39179,0,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0010__20190922T112111_20190922T113547_T28QFG,0,860,2203,0,4723,157458,80864,0,0,0,0,0,8552,821,6663,0
ROI_0011__20190130T103251_20190130T104108_T31REP,6955,60707,41804,0,263,8002,309,0,1848,64177,25989,0,0,14767,37323,0
ROI_0011__20190306T103019_20190306T103540_T31REP,227431,0,34713,0,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0011__20190318T102021_20190318T102646_T31REP,61812,619,9404,618,0,60120,3129,21021,13807,26147,9377,12136,11656,0,5639,26659
ROI_0011__20190517T102031_20190517T102508_T31REP,0,183529,31727,0,0,6697,131,0,0,29819,4104,0,0,4105,2032,0
ROI_0011__20190830T102029_20190830T102552_T31REP,0,32870,64307,0,0,9664,0,0,0,90385,12373,0,0,30993,21552,0
ROI_0032__20190315T032531_20190315T033351_T49TFH,140570,1593,32,0,0,0,0,0,94566,15400,0,0,9983,0,0,0
ROI_0032__20190330T032539_20190330T033305_T49TFH,131069,350,3154,2317,7592,21674,24607,4243,0,0,0,0,12631,213,5298,48996
ROI_0032__20190713T032541_20190713T033534_T49TFH,130302,1273,4831,1885,7981,51343,12154,2454,0,0,0,0,18932,261,1691,29037
ROI_0032__20190817T032539_20190817T033403_T49TFH,159764,584,893,1365,20271,14914,20153,1204,0,0,0,0,17383,470,2830,22313
ROI_0032__20191110T032951_20191110T033139_T49TFH,262111,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0044__20190327T100029_20190327T101005_T32QMM,2044,14412,21019,72,0,76129,21264,0,0,0,0,0,14,18388,98859,9943
