id,cm_t0_p0,cm_t0_p1,cm_t0_p2,cm_t0_p3,cm_t1_p0,cm_t1_p1,cm_t1_p2,cm_t1_p3,cm_t2_p0,cm_t2_p1,cm_t2_p2,cm_t2_p3,cm_t3_p0,cm_t3_p1,cm_t3_p2,cm_t3_p3
ROI_0001__20190212T142031_20190212T143214_T19FDF,122540,1280,34165,22007,0,0,0,0,55897,6125,915,19215,0,0,0,0
ROI_0001__20190304T142031_20190304T142654_T19FDF,58,24,1550,11204,0,9897,19033,10771,0,0,1,0,0,15,1025,208566
ROI_0001__20190316T141049_20190316T142437_T19FDF,24654,0,63,53073,171,51746,17051,69955,0,0,0,0,0,253,187,44991
ROI_0001__20190525T141059_20190525T142053_T19FDF,1,0,25450,86400,0,857,64112,11,0,42,58490,65,0,0,10216,16500
ROI_0001__20200308T141731_20200308T143551_T19FDF,83251,2626,82006,94261,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0010__20190125T112341_20190125T112624_T28QFG,0,62,241467,389,0,0,0,0,0,11,20007,208,0,0,0,0
ROI_0010__20190724T112121_20190724T113118_T28QFG,0,69437,2920,1,0,55121,18807,10,0,63311,2717,0,0,48696,1124,0
ROI_0010__20190813T112121_20190813T113228_T28QFG,0,391,45742,4223,0,4046,144008,115,0,0,0,0,0,3856,59690,73
ROI_0010__20190907T112119_20190907T112853_T28QFG,31,0,261915,198,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0010__20190922T112111_20190922T113547_T28QFG,0,69,2963,31,0,47853,195109,83,0,0,0,0,0,6,14052,1978
ROI_0011__20190130T103251_20190130T104108_T31REP,0,280,109186,0,0,0,8574,0,0,0,92014,0,0,6,52084,0
ROI_0011__20190306T103019_20190306T103540_T31REP,2127,90169,168457,1391,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0011__20190318T102021_20190318T102646_T31REP,360,8521,60503,3069,0,27273,53079,3918,0,21422,32774,7271,0,30347,3625,9982
ROI_0011__20190517T102031_20190517T102508_T31REP,0,99772,115471,13,0,2,6826,0,0,50,33873,0,0,0,6137,0
ROI_0011__20190830T102029_20190830T102552_T31REP,0,611,96245,321,0,2043,7621,0,0,10281,92198,279,0,1449,51096,0
ROI_0032__20190315T032531_20190315T033351_T49TFH,0,51906,4033,86256,0,0,0,0,0,76225,31766,1975,0,423,1335,8225
ROI_0032__20190330T032539_20190330T033305_T49TFH,0,2343,9731,124816,0,15233,34443,8440,0,0,0,0,0,4448,1817,60873
ROI_0032__20190713T032541_20190713T033534_T49TFH,0,9579,12556,116156,0,24767,43183,5982,0,0,0,0,0,1591,2418,45912
ROI_0032__20190817T032539_20190817T033403_T49TFH,0,0,9429,153177,0,1847,48059,6636,0,0,0,0,0,0,1595,41401
ROI_0032__20191110T032951_20191110T033139_T49TFH,35620,0,8533,217991,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0044__20190327T100029_20190327T101005_T32QMM,0,17294,4839,15414,0,91664,5717,12,0,0,0,0,0,76409,50742,53
ROI_0044__20190526T100039_20190526T100712_T32QMM,0,1449,5424,6134,0,57239,103455,11806,0,0,0,0,0,593,23609,52435
ROI_0044__20190908T100031_20190908T100836_T32QMM,0,887,2097,79,0,62072,139301,1994,0,0,0,0,0,6146,49560,8
ROI_0044__20200106T100401_20200106T100404_T32QMM,0,187233,64827,10084,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0044__20200321T100029_20200321T100458_T32QMM,16355,3558,142680,31375,343,20,25906,1039,0,0,0,0,212,1165,39484,7
ROI_0064__20181217T015619_20181217T020219_T51JVH,16,95675,6733,1655,0,104038,3555,0,0,0,0,0,0,50169,279,24
ROI_0064__20190317T015619_20190317T020354_T51JVH,0,25806,56214,190,0,0,0,0,0,72118,107816,0,0,0,0,0
ROI_0064__20190615T015629_20190615T020446_T51JVH,127780,8378,872,25432,2724,55231,16528,95,11216,7914,4523,316,433,605,8,89
ROI_0064__20190622T014709_20190622T015123_T51JVH,0,148035,114109,0,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0064__20191102T015619_20191102T020403_T51JVH,62540,562,4190,53389,5707,31708,36121,18233,0,0,0,0,6248,708,1263,41475
ROI_0065__20190101T142749_20190101T143756_T19HCA,156673,0,84695,20776,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0065__20190116T142751_20190116T143701_T19HCA,123639,399,7812,39336,7692,3699,26034,1166,0,0,12635,4885,10797,227,11311,12512
ROI_0065__20190404T143759_20190404T144906_T19HCA,59417,2,82250,86738,704,13,17051,3509,0,0,0,0,700,0,7560,4200
ROI_0065__20200129T143659_20200129T144449_T19HCA,9902,2360,7862,12239,654,100431,61267,11187,0,0,0,0,9499,12035,4909,29799
