id,cm_t0_p0,cm_t0_p1,cm_t0_p2,cm_t0_p3,cm_t1_p0,cm_t1_p1,cm_t1_p2,cm_t1_p3,cm_t2_p0,cm_t2_p1,cm_t2_p2,cm_t2_p3,cm_t3_p0,cm_t3_p1,cm_t3_p2,cm_t3_p3
ROI_0001__20190212T142031_20190212T143214_T19FDF,84345,0,85157,10490,0,0,0,0,61273,543,19826,510,0,0,0,0
ROI_0001__20190304T142031_20190304T142654_T19FDF,0,854,1518,10464,0,2915,25554,11232,0,0,1,0,0,875,1602,207129
ROI_0001__20190316T141049_20190316T142437_T19FDF,0,0,538,77252,0,1518,57654,79751,0,0,0,0,0,0,478,44953
ROI_0001__20190525T141059_20190525T142053_T19FDF,30706,0,35645,45500,0,0,64980,0,0,0,58597,0,114,0,13015,13587
ROI_0001__20200308T141731_20200308T143551_T19FDF,6810,0,66221,189113,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0010__20190125T112341_20190125T112624_T28QFG,0,0,241918,0,0,0,0,0,0,0,20226,0,0,0,0,0
ROI_0010__20190724T112121_20190724T113118_T28QFG,0,264,72094,0,0,1076,72862,0,0,143,65885,0,0,0,49820,0
ROI_0010__20190813T112121_20190813T113228_T28QFG,0,5699,44657,0,0,586,147583,0,0,0,0,0,0,1353,62266,0
ROI_0010__20190907T112119_20190907T112853_T28QFG,7201,9241,245695,7,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0010__20190922T112111_20190922T113547_T28QFG,0,0,3063,0,0,0,243045,0,0,0,0,0,0,0,16036,0
ROI_0011__20190130T103251_20190130T104108_T31REP,0,7,109459,0,0,0,8574,0,0,11,92003,0,0,0,52090,0
ROI_0011__20190306T103019_20190306T103540_T31REP,165813,0,96331,0,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0011__20190318T102021_20190318T102646_T31REP,6136,0,65572,745,0,0,84270,0,0,0,61467,0,0,0,43896,58
ROI_0011__20190517T102031_20190517T102508_T31REP,0,0,215256,0,0,0,6828,0,0,0,33923,0,0,0,6137,0
ROI_0011__20190830T102029_20190830T102552_T31REP,0,0,96942,235,0,0,9664,0,0,0,102758,0,0,0,52545,0
ROI_0032__20190315T032531_20190315T033351_T49TFH,71025,97,70972,101,0,0,0,0,1619,6288,102020,39,7730,0,1980,273
ROI_0032__20190330T032539_20190330T033305_T49TFH,112616,1169,8029,15076,2246,10843,37985,7042,0,0,0,0,3797,623,3950,58768
ROI_0032__20190713T032541_20190713T033534_T49TFH,75823,15806,11546,35116,35,11369,55943,6585,0,0,0,0,1115,1940,972,45894
ROI_0032__20190817T032539_20190817T033403_T49TFH,86058,8527,35716,32305,501,18370,36882,789,0,0,0,0,627,9118,13912,19339
ROI_0032__20191110T032951_20191110T033139_T49TFH,237236,0,24406,502,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0044__20190327T100029_20190327T101005_T32QMM,0,900,36647,0,0,593,96800,0,0,0,0,0,0,861,126343,0
ROI_0044__20190526T100039_20190526T100712_T32QMM,0,2618,5873,4516,0,42396,127435,2669,0,0,0,0,0,11120,25572,39945
ROI_0044__20190908T100031_20190908T100836_T32QMM,0,15,3048,0,0,3292,200075,0,0,0,0,0,0,33,55681,0
ROI_0044__20200106T100401_20200106T100404_T32QMM,2319,0,11667,248158,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0044__20200321T100029_20200321T100458_T32QMM,24230,1678,168022,38,143,1,27164,0,0,0,0,0,2,0,27893,12973
ROI_0064__20181217T015619_20181217T020219_T51JVH,0,35,103724,320,0,7,107586,0,0,0,0,0,0,117,50343,12
ROI_0064__20190317T015619_20190317T020354_T51JVH,0,66,82144,0,0,0,0,0,0,51,179883,0,0,0,0,0
ROI_0064__20190615T015629_20190615T020446_T51JVH,0,2386,2293,157783,0,17685,53221,3672,0,7759,2605,13605,0,139,580,416
ROI_0064__20190622T014709_20190622T015123_T51JVH,0,0,260987,1157,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0064__20191102T015619_20191102T020403_T51JVH,0,54154,22528,43999,0,43386,38944,9439,0,0,0,0,0,9749,878,39067
ROI_0065__20190101T142749_20190101T143756_T19HCA,30513,85,141527,90019,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0065__20190116T142751_20190116T143701_T19HCA,0,2498,76203,92485,0,17075,14378,7138,0,5197,12323,0,0,5662,23550,5635
ROI_0065__20190404T143759_20190404T144906_T19HCA,8007,9949,115265,95186,0,1033,17150,3094,0,0,0,0,23,70,8401,3966
ROI_0065__20200129T143659_20200129T144449_T19HCA,0,5943,17693,8727,0,15131,158112,296,0,0,0,0,0,7566,36765,11911
ROI_0065__20200410T142731_20200410T143742_T19HCA,0,15,81364,23609,0,561,83353,11422,0,0,0,0,0,1,22275,39544
ROI_0069__20190516T151709_20190516T152114_T18LTM,0,20,137527,0,0,198,56597,0,0,1999,65803,0,0,0,0,0
ROI_0069__20190913T151709_20190913T152341_T18LTM,0,0,55716,4713,0,26,201689,0,0,0,0,0,0,0,0,0
ROI_0069__20200225T151701_20200225T152133_T18LTM,229021,522,334,13799,1671,6702,2206,426,0,0,0,0,2234,2500,871,1858
ROI_0069__20200510T151659_20200510T152614_T18LTM,12258,35985,213033,868,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0069__20200624T151711_20200624T151850_T18LTM,0,1032,90704,17051,0,17810,135547,0,0,0,0,0,0,0,0,0
ROI_0079__20190120T203751_20190120T203749_T08VMM,0,2497,252281,0,0,0,7366,0,0,0,0,0,0,0,0,0
ROI_0079__20190624T202849_20190624T203750_T08VMM,0,533,14278,1034,0,21916,158188,6544,0,0,4457,0,0,1313,35501,18380
ROI_0079__20190706T201851_20190706T202346_T08VMM,0,425,176868,0,0,8349,48160,0,0,0,0,0,0,19,28323,0
ROI_0079__20200630T201851_20200630T202618_T08VMM,0,28950,45548,0,0,14503,97651,0,0,1080,6650,0,0,18605,49157,0
ROI_0079__20200725T201849_20200725T202524_T08VMM,0,0,14705,0,0,0,211932,0,0,0,0,0,0,0,35507,0
ROI_0085__20190623T182921_20190623T183717_T11TPJ,0,353,76286,30,0,63,147667,0,0,0,0,0,0,78,37007,660
ROI_0085__20190822T182921_20190822T183216_T11TPJ,6257,3283,47604,68076,0,66,76913,10386,0,0,0,0,185,67,5407,43900
ROI_0085__20190911T182921_20190911T183249_T11TPJ,0,6605,55472,0,0,18005,137590,0,0,0,0,0,0,4022,40450,0
ROI_0085__20200602T182919_20200602T183556_T11TPJ,0,0,203955,58189,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0085__20200707T182921_20200707T183250_T11TPJ,3501,97488,98898,0,12,3823,33945,0,0,0,0,0,31,6008,18438,0
ROI_0106__20190509T152649_20190509T152958_T18LTN,0,0,262061,83,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0106__20191220T152631_20191220T153056_T18LTN,0,6,33582,43070,0,0,149812,0,0,0,0,0,0,0,34084,1590
ROI_0106__20200304T152639_20200304T153356_T18LTN,512,698,2068,196488,302,9471,9865,21317,0,0,0,0,19,1358,937,19109
ROI_0106__20200612T152639_20200612T153318_T18LTN,0,36,7737,170709,0,0,79607,3871,0,0,0,0,0,0,0,184
ROI_0106__20200617T152651_20200617T152645_T18LTN,0,0,14292,42777,0,0,204370,705,0,0,0,0,0,0,0,0
ROI_0120__20190302T045721_20190302T050545_T45TXE,234,0,261910,0,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0120__20190829T045701_20190829T045729_T45TXE,54593,67171,51762,0,0,13563,1856,0,3605,40147,6516,0,0,2473,20458,0
ROI_0120__20191008T045701_20191008T050028_T45TXE,0,611,16517,0,0,1311,204454,0,0,0,21791,0,0,984,16476,0
ROI_0120__20191020T044819_20191020T044922_T45TXE,0,82,105954,0,0,986,13800,0,0,9,127675,0,0,2777,10861,0
ROI_0120__20191219T045209_20191219T045214_T45TXE,38195,0,223949,0,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0141__20181226T141039_20181226T142041_T19FDE,20945,0,427,240772,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0141__20190316T141049_20190316T142437_T19FDE,8,0,10218,188341,0,0,0,0,0,0,22628,34403,0,0,0,6546
ROI_0141__20190420T141051_20190420T142048_T19FDE,1394,2312,12750,39175,15,5589,116728,44308,0,0,0,0,0,0,14865,25008
ROI_0141__20191126T141051_20191126T142045_T19FDE,0,0,16610,7,0,0,10915,0,0,0,195484,393,0,0,33569,5166
ROI_0141__20200419T141039_20200419T142040_T19FDE,0,0,12216,149897,0,0,0,0,0,2,41343,58686,0,0,0,0
ROI_0153__20190405T141049_20190405T142048_T20JPM,0,0,156726,0,0,0,21199,0,0,0,84219,0,0,0,0,0
ROI_0153__20190709T141051_20190709T141051_T20JPM,0,0,119976,6,0,0,11391,9,0,0,130762,0,0,0,0,0
ROI_0153__20191201T141039_20191201T142051_T20JPM,677,0,225044,0,0,0,36423,0,0,0,0,0,0,0,0,0
ROI_0153__20200411T140051_20200411T140833_T20JPM,0,0,262144,0,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0153__20200628T141049_20200628T141048_T20JPM,0,0,37187,0,0,0,109061,0,0,0,115896,0,0,0,0,0
ROI_0154__20190326T141049_20190326T141445_T20HNJ,18941,347,62677,78223,62,171,49375,1179,0,0,0,0,929,0,33135,17105
ROI_0154__20191113T140051_20191113T140054_T20HNJ,8936,0,3415,0,956,71,105222,0,42848,0,60456,0,9678,0,30562,0
ROI_0154__20191231T141039_20191231T142033_T20HNJ,32992,1484,37408,159491,403,532,17122,1700,0,0,0,0,548,177,7509,2778
ROI_0154__20200120T140639_20200120T141746_T20HNJ,5305,20588,59546,5306,0,29980,12393,0,2235,20854,53129,16,0,5739,44432,2621
ROI_0154__20200201T135641_20200201T140849_T20HNJ,0,0,261715,429,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0159__20190718T143751_20190718T144610_T19HBV,0,190,185558,0,0,1261,53314,0,0,0,0,0,0,170,21651,0
ROI_0159__20191016T143731_20191016T144649_T18HYE,4064,8528,14138,0,1730,51914,162713,0,0,0,0,0,400,3525,15132,0
ROI_0159__20200129T143659_20200129T144449_T18HYE,2155,0,259989,0,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0159__20200403T143721_20200403T144642_T19HBV,0,20,162392,0,0,0,0,0,0,215,99517,0,0,0,0,0
ROI_0159__20200607T143729_20200607T144648_T19HBV,0,444,5531,36844,0,15482,46180,90982,0,0,0,0,0,5461,11513,49707
ROI_0165__20190224T145721_20190224T150622_T19LBD,15217,1957,13268,78954,39,13108,54603,19071,0,0,0,0,734,219,3158,61816
ROI_0165__20190331T145729_20190331T150118_T19LBD,0,537,32695,32721,0,3189,132171,9798,0,0,0,0,0,59,27791,23183
ROI_0165__20190917T145729_20190917T150535_T19LBD,23305,0,230078,8761,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0165__20191022T145731_20191022T150543_T19LBD,174047,70,7641,2781,3977,343,42429,450,0,0,0,0,9000,0,9678,11728
ROI_0165__20191221T145721_20191221T145719_T19LBD,26571,0,12791,19378,1285,4258,75354,14468,247,0,33612,41766,1396,117,7110,23791
ROI_0197__20190609T175919_20190609T180009_T14VPM,0,0,9438,0,0,0,231559,0,0,0,0,0,0,0,21147,0
ROI_0197__20190621T174911_20190621T175233_T14VPM,0,0,2542,123159,0,2,65743,11888,0,0,0,11392,0,0,2461,44957
ROI_0197__20190714T175921_20190714T180011_T14VPM,0,43,103034,0,0,355,126949,0,0,0,0,0,0,0,31763,0
ROI_0197__20200712T173911_20200712T174044_T14VPM,0,0,253811,8333,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0197__20200720T174909_20200720T174909_T14VPM,0,0,14339,210126,0,0,21778,4488,0,0,0,0,0,0,0,11413
ROI_0201__20190902T161901_20190902T162451_T16TGL,212,6607,82330,0,0,14094,116806,0,0,0,0,0,0,2826,39269,0
ROI_0201__20190922T162001_20190922T162717_T16TGL,77651,0,5738,178755,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0201__20191101T162431_20191101T162426_T17TKF,0,0,76654,132366,0,0,22845,1589,0,0,0,0,0,0,17736,10954
ROI_0201__20200320T161951_20200320T162706_T16TGL,3063,0,0,0,79307,1275,13260,8361,119602,169,5066,3915,24473,0,2534,1119
ROI_0201__20200402T162851_20200402T164102_T17TKF,0,9158,22273,94393,0,30320,43106,5300,0,0,0,0,0,7824,24590,25180
ROI_0212__20190523T053651_20190523T053645_T48XVG,0,0,97355,69,0,0,53146,84,0,0,87791,0,0,0,23699,0
ROI_0212__20190812T055639_20190812T055642_T48XVG,239,0,209082,52823,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0212__20190824T054641_20190824T054640_T48XVG,60200,0,132896,0,1473,0,35994,0,0,0,0,0,3667,0,27914,0
ROI_0212__20190917T052651_20190917T052645_T48XVG,0,158,6304,0,0,1612,220396,0,0,0,0,0,0,2,33672,0
ROI_0212__20190920T053641_20190920T053750_T48XVG,0,196,42821,9,0,1608,108069,83,0,0,0,0,0,68,109290,0
ROI_0235__20190607T053649_20190607T053649_T44UNV,0,46,15410,41955,0,3,146721,8876,0,0,0,0,0,0,19928,29205
ROI_0235__20200402T053639_20200402T053638_T44UNV,0,0,46640,130,0,0,943,0,0,0,209596,408,0,0,4427,0
ROI_0235__20200512T053639_20200512T054139_T44UNV,0,0,262012,132,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0235__20200601T053649_20200601T053643_T44UNV,2676,603,1240,1142,894,1139,208566,0,11741,473,11197,151,0,2092,19420,810
ROI_0235__20200711T053649_20200711T053643_T44UNV,0,246,6253,199816,0,6188,18828,12185,0,0,0,12012,0,0,0,6616
ROI_0243__20180516T090549_20180516T091106_T35TLJ,0,10795,62661,151676,0,7333,15025,303,0,0,0,0,0,2871,11203,277
ROI_0243__20180802T092031_20180802T092224_T35TLJ,0,0,19977,36231,0,3,118798,6801,0,0,30479,8762,0,0,23038,18055
ROI_0243__20190524T092039_20190524T092605_T35TLJ,0,0,55459,24743,0,772,129131,148,0,0,1769,2024,0,0,46691,1407
ROI_0243__20190728T092031_20190728T092427_T35TLJ,0,0,6230,255914,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0243__20191001T092029_20191001T092623_T35TLJ,63048,3404,2616,105635,0,183,14495,305,0,4161,12851,54394,0,941,111,0
ROI_0245__20180213T110141_20180213T110143_T31UDR,991,0,25531,17326,0,0,20332,0,6,0,186763,11195,0,0,0,0
ROI_0245__20180526T105029_20180526T105635_T31UDR,428,9124,204607,47985,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0245__20180625T105029_20180625T105253_T31UDR,0,120153,51778,41918,0,15951,12817,8,0,0,0,0,0,16349,2798,372
ROI_0245__20190708T105621_20190708T110438_T31UDR,1061,27697,31468,103613,0,5304,60742,963,0,0,0,0,0,8112,9354,13830
ROI_0245__20200614T104629_20200614T104648_T31UDR,0,4058,72557,1,0,40918,96205,0,0,0,0,0,0,12281,36124,0
ROI_0264__20190120T080239_20190120T082812_T35HLD,14997,0,244770,2377,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0264__20190321T075619_20190321T081839_T35HKD,0,6457,23947,0,0,43482,124638,0,0,0,0,0,0,18701,44919,0
ROI_0264__20190410T075619_20190410T082613_T35HKD,50,1,5863,53348,0,14187,8829,1308,9,2053,9261,155113,0,1610,3739,6773
ROI_0264__20190719T075619_20190719T082310_T35HKD,0,17,21734,0,0,650,206179,0,0,0,0,0,0,2,33562,0
ROI_0264__20200628T075611_20200628T082104_T35HKD,8401,149,12578,105495,424,1814,36462,3208,0,0,0,0,0,0,1937,91676
ROI_0268__20190129T071209_20190129T071208_T38KNV,0,0,232855,0,0,0,49,0,0,0,29240,0,0,0,0,0
ROI_0268__20190213T071201_20190213T071519_T38KNV,28183,13762,21549,0,1401,10939,107716,0,0,0,0,0,10171,35572,32851,0
ROI_0268__20190218T071209_20190218T071207_T38KNV,0,1349,567,1147,0,11649,43087,58128,0,154,1303,136512,0,0,21,8227
ROI_0268__20190603T071211_20190603T071210_T38KNV,0,12937,135531,26,0,8257,22231,24,0,29027,34922,0,0,1594,17595,0
ROI_0268__20190613T071211_20190613T071210_T38KNV,0,0,24942,237202,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0271__20181226T053229_20181226T053653_T43QFG,16645,15081,230418,0,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0271__20190214T052929_20190214T054115_T43QFG,0,19,3044,0,375,0,110426,1431,2435,0,85441,37664,0,0,7279,14030
ROI_0271__20190724T052659_20190724T053718_T43QFG,2721,6722,16567,4914,0,6547,67801,25026,931,4233,24384,65091,0,6621,21300,9286
ROI_0271__20190922T052649_20190922T054154_T43QFG,0,214,160038,854,0,327,68101,230,0,0,0,0,0,29,32257,94
ROI_0271__20200224T052811_20200224T053954_T43QFG,80523,41196,49235,64744,2443,822,10802,3310,0,0,0,0,921,772,3926,3450
ROI_0285__20190220T001631_20190220T001625_T55HBB,101566,0,137173,23405,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0285__20190312T002051_20190312T002050_T55HBB,107154,0,64933,74381,719,0,7415,2626,0,0,0,0,683,0,1976,2257
ROI_0285__20190715T002109_20190715T002258_T55HBB,0,0,42574,158856,0,0,10587,23745,0,0,0,0,0,0,4139,22243
ROI_0285__20200210T002049_20200210T002418_T55HBB,0,46,35662,0,0,0,170503,0,0,0,120,0,0,0,55813,0
ROI_0285__20200410T002049_20200410T002250_T55HBB,0,12,3051,0,0,448,240960,0,0,0,0,0,0,284,17389,0
ROI_0309__20181220T130241_20181220T130239_T24LTJ,14566,17141,151191,0,1501,20110,27586,0,0,0,224,0,1237,4196,24392,0
ROI_0309__20190109T130241_20190109T130243_T24LTJ,18065,281,27429,16756,2075,1357,150168,16395,0,0,0,0,979,0,21881,6758
ROI_0309__20190218T130241_20190218T130244_T24LTJ,0,2439,3091,58291,0,14344,30955,32415,0,2529,1639,86143,0,3334,1792,25172
ROI_0309__20191120T130249_20191120T130245_T24LTJ,0,0,250562,11582,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0309__20200503T130251_20200503T130251_T24LTJ,0,8403,130446,0,0,7840,75676,0,0,0,0,0,0,1046,38733,0
ROI_0331__20181222T073319_20181222T074542_T37NHJ,19483,0,176995,65666,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0331__20190416T072621_20190416T074442_T37PHK,4245,595,9845,146284,6,4017,66405,5290,0,0,0,0,0,572,11648,13237
ROI_0331__20190421T072619_20190421T073927_T37PHK,5307,323,45578,25261,0,913,138706,1496,0,0,0,0,29,96,38290,6145
ROI_0331__20191008T072759_20191008T074520_T38NKP,0,594,33904,8247,0,18962,135514,125,0,157,39936,447,0,297,23794,167
ROI_0331__20191117T073109_20191117T073737_T37PHK,127783,346,92330,24946,367,1676,8232,61,0,0,0,0,489,0,10,5904
ROI_0342__20181228T084351_20181228T090053_T33KZT,0,0,4888,0,0,0,230866,0,0,0,0,0,0,0,26390,0
ROI_0342__20190201T084159_20190201T090346_T33KZT,0,3827,40145,192,0,21282,113082,33,0,0,0,0,0,6519,60678,16386
ROI_0342__20190402T083559_20190402T085915_T34KBC,0,254,5260,41951,0,391,67272,9398,0,738,15856,65712,0,0,9698,45614
