id,miou,pixel_acc,iou_clear,iou_thick_cloud,iou_thin_cloud,iou_cloud_shadow
ROI_0001__20190212T142031_20190212T143214_T19FDF,0.12301535800102079,0.4150543212890625,0.49155300051522627,0.0,0.0005084314888568766,0.0
ROI_0001__20190304T142031_20190304T142654_T19FDF,0.3224526235981238,0.8245353698730469,0.0,0.474558900922361,0.0,0.8152515934701342
ROI_0001__20190316T141049_20190316T142437_T19FDF,0.34377201163319543,0.6315498352050781,0.0,0.7320433625639364,,0.29927267233564986
ROI_0001__20190525T141059_20190525T142053_T19FDF,0.10727476164828971,0.2774925231933594,0.0,0.3457836005555526,0.0,0.08331544603760625
ROI_0001__20200308T141731_20200308T143551_T19FDF,0.2381734848022461,0.9526939392089844,0.9526939392089844,0.0,0.0,0.0
ROI_0010__20190125T112341_20190125T112624_T28QFG,0.0,0.0,0.0,0.0,0.0,0.0
ROI_0010__20190724T112121_20190724T113118_T28QFG,0.07138885815391077,0.2826194763183594,0.0,0.28254356465912567,0.0,0.003011867956517403
ROI_0010__20190813T112121_20190813T113228_T28QFG,0.2389210825985213,0.5504112243652344,0.34120793403164695,0.5733589050649464,0.0,0.04111749129749189
ROI_0010__20190907T112119_20190907T112853_T28QFG,0.18947792053222656,0.7579116821289062,0.7579116821289062,0.0,0.0,0.0
ROI_0010__20190922T112111_20190922T113547_T28QFG,0.062488065044092975,0.23506927490234375,0.0,0.23997719783223226,0.0,0.00997506234413965
ROI_0011__20190130T103251_20190130T104108_T31REP,0.008176803588867188,0.03270721435546875,0.0,0.03270721435546875,0.0,0.0
ROI_0011__20190306T103019_20190306T103540_T31REP,0.2590618133544922,0.5181236267089844,0.5181236267089844,0.0,,
ROI_0011__20190318T102021_20190318T102646_T31REP,0.08036613464355469,0.32146453857421875,0.0,0.32146453857421875,0.0,0.0
ROI_0011__20190517T102031_20190517T102508_T31REP,0.006511688232421875,0.0260467529296875,0.0,0.0260467529296875,0.0,0.0
ROI_0011__20190830T102029_20190830T102552_T31REP,0.00921630859375,0.036865234375,0.0,0.036865234375,0.0,0.0
ROI_0032__20190315T032531_20190315T033351_T49TFH,0.0,0.0,0.0,0.0,0.0,0.0
ROI_0032__20190330T032539_20190330T033305_T49TFH,0.5293514510934306,0.7012786865234375,0.6042059600150886,0.45292373189724183,,0.5309246613679615
ROI_0032__20190713T032541_20190713T033534_T49TFH,0.10582156318592158,0.28830718994140625,0.0,0.28545504388081716,,0.03200964567694761
ROI_0032__20190817T032539_20190817T033403_T49TFH,0.17948825218305764,0.6064949035644531,0.7110551186750715,0.006897890057158987,0.0,0.0
ROI_0032__20191110T032951_20191110T033139_T49TFH,0.0,0.0,0.0,,0.0,0.0
ROI_0044__20190327T100029_20190327T101005_T32QMM,0.1238416035970052,0.3715248107910156,0.0,0.3715248107910156,,0.0
ROI_0044__20190526T100039_20190526T100712_T32QMM,0.22169769828468167,0.6597480773925781,0.0,0.6591564796380436,,0.005936615216001462
ROI_0044__20190908T100031_20190908T100836_T32QMM,0.24224008448231005,0.525634765625,0.0,0.48591906691002984,0.0,0.48304127101921035
ROI_0044__20200106T100401_20200106T100404_T32QMM,0.014990806579589844,0.059963226318359375,0.059963226318359375,0.0,0.0,0.0
ROI_0044__20200321T100029_20200321T100458_T32QMM,0.2606687314099084,0.6706695556640625,0.694737983473464,0.1810577767068826,0.0,0.16687916545928716
ROI_0064__20181217T015619_20181217T020219_T51JVH,0.13686848751690828,0.410491943359375,0.00014412129247975096,0.41046134125824507,,0.0
ROI_0064__20190317T015619_20190317T020354_T51JVH,0.0,0.0,0.0,0.0,0.0,
ROI_0064__20190615T015629_20190615T020446_T51JVH,0.12666231762923097,0.28441619873046875,0.0,0.5066492705169239,0.0,0.0
