id,cm_t0_p0,cm_t0_p1,cm_t0_p2,cm_t0_p3,cm_t1_p0,cm_t1_p1,cm_t1_p2,cm_t1_p3,cm_t2_p0,cm_t2_p1,cm_t2_p2,cm_t2_p3,cm_t3_p0,cm_t3_p1,cm_t3_p2,cm_t3_p3
ROI_0001__20190212T142031_20190212T143214_T19FDF,108762,1926,455,68849,0,0,0,0,41270,5448,42,35392,0,0,0,0
ROI_0001__20190304T142031_20190304T142654_T19FDF,0,4779,0,8057,0,34266,0,5435,0,1,0,0,0,27725,0,181881
ROI_0001__20190316T141049_20190316T142437_T19FDF,0,31652,0,46138,0,137824,0,1099,0,0,0,0,0,17698,0,27733
ROI_0001__20190525T141059_20190525T142053_T19FDF,0,45504,0,66347,0,64980,0,0,0,58484,0,113,0,18953,0,7763
ROI_0001__20200308T141731_20200308T143551_T19FDF,249743,5745,6011,645,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0010__20190125T112341_20190125T112624_T28QFG,0,223395,18518,5,0,0,0,0,0,20226,0,0,0,0,0,0
ROI_0010__20190724T112121_20190724T113118_T28QFG,0,72267,0,91,0,73936,0,2,0,65806,0,222,0,49669,0,151
ROI_0010__20190813T112121_20190813T113228_T28QFG,42868,5595,1507,386,33232,98655,13065,3217,0,0,0,0,42048,18301,506,2764
ROI_0010__20190907T112119_20190907T112853_T28QFG,198682,42299,7664,13499,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0010__20190922T112111_20190922T113547_T28QFG,0,1859,1204,0,0,61462,181579,4,0,0,0,0,53,11212,4611,160
ROI_0011__20190130T103251_20190130T104108_T31REP,0,109466,0,0,0,8574,0,0,0,92014,0,0,0,52090,0,0
ROI_0011__20190306T103019_20190306T103540_T31REP,135823,126321,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0011__20190318T102021_20190318T102646_T31REP,0,72453,0,0,0,84270,0,0,0,61467,0,0,0,43954,0,0
ROI_0011__20190517T102031_20190517T102508_T31REP,0,215256,0,0,0,6828,0,0,0,33923,0,0,0,6137,0,0
ROI_0011__20190830T102029_20190830T102552_T31REP,0,97177,0,0,0,9664,0,0,0,102758,0,0,0,52545,0,0
ROI_0032__20190315T032531_20190315T033351_T49TFH,0,140296,1898,1,0,0,0,0,0,109966,0,0,0,9983,0,0
ROI_0032__20190330T032539_20190330T033305_T49TFH,96105,37746,0,3039,7040,49789,0,1287,0,0,0,0,15130,14066,0,37942
ROI_0032__20190713T032541_20190713T033534_T49TFH,0,136790,0,1501,0,73932,0,0,0,0,0,0,0,48275,0,1646
ROI_0032__20190817T032539_20190817T033403_T49TFH,158598,0,3245,763,18013,391,38088,50,0,0,0,0,42427,142,427,0
ROI_0032__20191110T032951_20191110T033139_T49TFH,0,0,9729,252415,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0044__20190327T100029_20190327T101005_T32QMM,0,37547,0,0,0,97393,0,0,0,0,0,0,0,127204,0,0
ROI_0044__20190526T100039_20190526T100712_T32QMM,0,13007,0,0,0,172494,0,6,0,0,0,0,0,76182,0,455
ROI_0044__20190908T100031_20190908T100836_T32QMM,0,1247,1816,0,571,109152,90067,3577,0,0,0,0,3,20016,7055,28640
ROI_0044__20200106T100401_20200106T100404_T32QMM,15719,244412,1060,953,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0044__20200321T100029_20200321T100458_T32QMM,153774,13992,12,26190,14826,10520,0,1962,0,0,0,0,12547,16803,0,11518
ROI_0064__20181217T015619_20181217T020219_T51JVH,15,104062,0,2,0,107593,0,0,0,0,0,0,0,50472,0,0
ROI_0064__20190317T015619_20190317T020354_T51JVH,0,82210,0,0,0,0,0,0,0,179934,0,0,0,0,0,0
ROI_0064__20190615T015629_20190615T020446_T51JVH,0,49861,0,112601,0,74558,0,20,0,21585,0,2384,0,1135,0,0
ROI_0064__20190622T014709_20190622T015123_T51JVH,0,258289,0,3855,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0064__20191102T015619_20191102T020403_T51JVH,0,115672,4940,69,0,91769,0,0,0,0,0,0,0,49694,0,0
