id,cm_t0_p0,cm_t0_p1,cm_t0_p2,cm_t0_p3,cm_t1_p0,cm_t1_p1,cm_t1_p2,cm_t1_p3,cm_t2_p0,cm_t2_p1,cm_t2_p2,cm_t2_p3,cm_t3_p0,cm_t3_p1,cm_t3_p2,cm_t3_p3
ROI_0001__20190212T142031_20190212T143214_T19FDF,179657,143,192,0,0,0,0,0,77171,1471,3510,0,0,0,0,0
ROI_0001__20190304T142031_20190304T142654_T19FDF,0,0,2072,10764,0,24,28482,11195,0,0,1,0,62,0,1544,208000
ROI_0001__20190316T141049_20190316T142437_T19FDF,18028,0,484,59278,2074,55433,14775,66641,0,0,0,0,535,1,559,44336
ROI_0001__20190525T141059_20190525T142053_T19FDF,94815,158,16878,0,549,41384,22849,198,8290,10662,38867,778,20283,0,3296,3137
ROI_0001__20200308T141731_20200308T143551_T19FDF,262123,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0010__20190125T112341_20190125T112624_T28QFG,241040,878,0,0,0,0,0,0,20100,126,0,0,0,0,0,0
ROI_0010__20190724T112121_20190724T113118_T28QFG,63342,262,8754,0,3316,21449,49173,0,22071,8766,35191,0,32701,1917,15202,0
ROI_0010__20190813T112121_20190813T113228_T28QFG,46199,0,4157,0,57400,32428,56848,1493,0,0,0,0,38668,0,21585,3366
ROI_0010__20190907T112119_20190907T112853_T28QFG,253411,8701,3,29,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0010__20190922T112111_20190922T113547_T28QFG,0,1547,1516,0,2178,168292,72575,0,0,0,0,0,1978,756,13265,37
ROI_0011__20190130T103251_20190130T104108_T31REP,1470,66018,41978,0,378,8196,0,0,769,65607,25638,0,0,11645,40445,0
ROI_0011__20190306T103019_20190306T103540_T31REP,262144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0011__20190318T102021_20190318T102646_T31REP,70553,213,1050,637,4245,59620,698,19707,31852,19275,359,9981,19893,0,372,23689
ROI_0011__20190517T102031_20190517T102508_T31REP,0,208135,7121,0,0,6828,0,0,0,33923,0,0,0,6137,0,0
ROI_0011__20190830T102029_20190830T102552_T31REP,37138,44279,15760,0,0,9664,0,0,8772,93986,0,0,32,34399,18114,0
ROI_0032__20190315T032531_20190315T033351_T49TFH,142195,0,0,0,0,0,0,0,109966,0,0,0,9983,0,0,0
ROI_0032__20190330T032539_20190330T033305_T49TFH,136622,0,2,266,25993,16303,12537,3283,0,0,0,0,33160,0,528,33450
ROI_0032__20190713T032541_20190713T033534_T49TFH,137039,871,2,379,21321,49067,1407,2137,0,0,0,0,25997,416,8,23500
ROI_0032__20190817T032539_20190817T033403_T49TFH,159076,490,655,2385,25669,15177,15594,102,0,0,0,0,14307,293,2764,25632
ROI_0032__20191110T032951_20191110T033139_T49TFH,262144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0044__20190327T100029_20190327T101005_T32QMM,1126,17294,18849,278,0,68896,28497,0,0,0,0,0,0,6395,114596,6213
ROI_0044__20190526T100039_20190526T100712_T32QMM,0,126,11355,1526,0,41557,125595,5348,0,0,0,0,0,0,29976,46661
ROI_0044__20190908T100031_20190908T100836_T32QMM,0,1424,1639,0,0,38396,164961,10,0,0,0,0,0,587,49846,5281
