id,cm_t0_p0,cm_t0_p1,cm_t0_p2,cm_t0_p3,cm_t1_p0,cm_t1_p1,cm_t1_p2,cm_t1_p3,cm_t2_p0,cm_t2_p1,cm_t2_p2,cm_t2_p3,cm_t3_p0,cm_t3_p1,cm_t3_p2,cm_t3_p3
ROI_0001__20190212T142031_20190212T143214_T19FDF,165178,0,14319,495,0,0,0,0,67790,0,13665,697,0,0,0,0
ROI_0001__20190304T142031_20190304T142654_T19FDF,0,308,3244,9284,0,11512,22439,5750,0,0,1,0,0,41,7775,201790
ROI_0001__20190316T141049_20190316T142437_T19FDF,3029,24,17325,57412,20,66668,61750,10485,0,0,0,0,0,30,10556,34845
ROI_0001__20190525T141059_20190525T142053_T19FDF,81645,816,29390,0,394,48671,15915,0,3288,15347,39962,0,2563,0,24153,0
ROI_0001__20200308T141731_20200308T143551_T19FDF,131594,79,130471,0,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0010__20190125T112341_20190125T112624_T28QFG,241106,807,5,0,0,0,0,0,20103,123,0,0,0,0,0,0
ROI_0010__20190724T112121_20190724T113118_T28QFG,65730,6617,11,0,10430,63488,20,0,34428,31600,0,0,45571,4249,0,0
ROI_0010__20190813T112121_20190813T113228_T28QFG,34759,72,15525,0,21764,42222,84183,0,0,0,0,0,10697,176,52746,0
ROI_0010__20190907T112119_20190907T112853_T28QFG,261661,0,483,0,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0010__20190922T112111_20190922T113547_T28QFG,0,1753,1310,0,0,197015,46030,0,0,0,0,0,0,1172,14864,0
ROI_0011__20190130T103251_20190130T104108_T31REP,0,68794,40672,0,0,8249,325,0,0,59679,32335,0,0,12250,39840,0
ROI_0011__20190306T103019_20190306T103540_T31REP,261995,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0011__20190318T102021_20190318T102646_T31REP,9222,7164,56067,0,583,61855,21832,0,3627,33909,23931,0,509,9,43436,0
ROI_0011__20190517T102031_20190517T102508_T31REP,45,105874,109337,0,0,6828,0,0,0,33582,341,0,0,6043,94,0
ROI_0011__20190830T102029_20190830T102552_T31REP,1745,73527,21905,0,0,9664,0,0,175,102583,0,0,0,37964,14581,0
ROI_0032__20190315T032531_20190315T033351_T49TFH,142191,4,0,0,0,0,0,0,109028,938,0,0,9983,0,0,0
ROI_0032__20190330T032539_20190330T033305_T49TFH,136209,266,415,0,16252,23699,18099,66,0,0,0,0,53989,126,3783,9240
ROI_0032__20190713T032541_20190713T033534_T49TFH,120269,3348,13801,873,3971,55200,12761,2000,0,0,0,0,18255,1143,7764,22759
ROI_0032__20190817T032539_20190817T033403_T49TFH,15686,498,146422,0,0,25393,31149,0,0,0,0,0,0,24,42972,0
ROI_0032__20191110T032951_20191110T033139_T49TFH,262144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0044__20190327T100029_20190327T101005_T32QMM,0,9842,27705,0,0,76311,21082,0,0,0,0,0,0,31198,96006,0
ROI_0044__20190526T100039_20190526T100712_T32QMM,0,21,12986,0,0,39061,133439,0,0,0,0,0,0,0,76637,0
ROI_0044__20190908T100031_20190908T100836_T32QMM,0,832,2231,0,0,117215,86152,0,0,0,0,0,0,3517,52197,0
ROI_0044__20200106T100401_20200106T100404_T32QMM,107994,154150,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0044__20200321T100029_20200321T100458_T32QMM,150907,40154,2907,0,14432,12876,0,0,0,0,0,0,3234,8639,26541,2454
ROI_0064__20181217T015619_20181217T020219_T51JVH,17,2170,101892,0,0,73273,34320,0,0,0,0,0,0,5454,45018,0
ROI_0064__20190317T015619_20190317T020354_T51JVH,0,46310,35900,0,0,0,0,0,0,165019,14915,0,0,0,0,0
ROI_0064__20190615T015629_20190615T020446_T51JVH,110889,3440,48133,0,20,59787,14771,0,2087,6750,15132,0,163,242,730,0
ROI_0064__20190622T014709_20190622T015123_T51JVH,160971,91245,8144,1784,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0064__20191102T015619_20191102T020403_T51JVH,285,728,119668,0,0,39009,52760,0,0,0,0,0,0,206,49488,0
ROI_0065__20190101T142749_20190101T143756_T19HCA,12833,2225,247086,0,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0065__20190116T142751_20190116T143701_T19HCA,68352,805,102029,0,5737,18288,14566,0,0,1139,16381,0,3354,1200,30293,0
ROI_0065__20190404T143759_20190404T144906_T19HCA,61030,547,156730,10100,647,11561,9069,0,0,0,0,0,2044,1569,7915,932
ROI_0065__20200129T143659_20200129T144449_T19HCA,137,1,32212,13,0,55391,118148,0,0,0,0,0,0,143,56099,0
ROI_0065__20200410T142731_20200410T143742_T19HCA,0,2879,102109,0,0,42003,53333,0,0,0,0,0,0,1044,60776,0
ROI_0069__20190516T151709_20190516T152114_T18LTM,67841,17,69689,0,0,42114,14681,0,1043,13363,53396,0,0,0,0,0
ROI_0069__20190913T151709_20190913T152341_T18LTM,42372,2073,15984,0,665,173990,27060,0,0,0,0,0,0,0,0,0
ROI_0069__20200225T151701_20200225T152133_T18LTM,242798,1,877,0,2140,6817,2048,0,0,0,0,0,4040,954,2469,0
ROI_0069__20200510T151659_20200510T152614_T18LTM,17511,10439,234194,0,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0069__20200624T151711_20200624T151850_T18LTM,42568,5264,60955,0,0,129909,23448,0,0,0,0,0,0,0,0,0
ROI_0079__20190120T203751_20190120T203749_T08VMM,0,243914,10864,0,0,7366,0,0,0,0,0,0,0,0,0,0
ROI_0079__20190624T202849_20190624T203750_T08VMM,0,2634,13211,0,0,154462,32186,0,0,4457,0,0,0,7135,48059,0
ROI_0079__20190706T201851_20190706T202346_T08VMM,0,3307,173986,0,0,37036,19473,0,0,0,0,0,0,486,27856,0
ROI_0079__20200630T201851_20200630T202618_T08VMM,0,16630,57868,0,0,101236,10918,0,0,6990,740,0,0,26223,41539,0
ROI_0079__20200725T201849_20200725T202524_T08VMM,0,6714,7991,0,0,178992,32940,0,0,0,0,0,0,14992,20515,0
ROI_0085__20190623T182921_20190623T183717_T11TPJ,0,17058,59611,0,0,140008,7722,0,0,0,0,0,0,17248,20497,0
ROI_0085__20190822T182921_20190822T183216_T11TPJ,0,852,124368,0,0,46391,40974,0,0,0,0,0,0,776,48783,0
ROI_0085__20190911T182921_20190911T183249_T11TPJ,0,109,61968,0,0,58121,97474,0,0,0,0,0,0,1098,43374,0
ROI_0085__20200602T182919_20200602T183556_T11TPJ,0,19112,170523,72509,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0085__20200707T182921_20200707T183250_T11TPJ,0,95,199792,0,0,17618,20162,0,0,0,0,0,0,137,24340,0
ROI_0106__20190509T152649_20190509T152958_T18LTN,9,0,3479,258656,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0106__20191220T152631_20191220T153056_T18LTN,61705,99,14809,45,0,23994,125818,0,0,0,0,0,5062,0,30128,484
ROI_0106__20200304T152639_20200304T153356_T18LTN,199674,12,80,0,31356,9131,468,0,0,0,0,0,20968,315,140,0
ROI_0106__20200612T152639_20200612T153318_T18LTN,19975,2086,30967,125454,0,74177,9301,0,0,0,0,0,0,0,184,0
ROI_0106__20200617T152651_20200617T152645_T18LTN,53393,3442,234,0,7299,195921,1855,0,0,0,0,0,0,0,0,0
ROI_0120__20190302T045721_20190302T050545_T45TXE,260084,41,2019,0,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0120__20190829T045701_20190829T045729_T45TXE,657,229,172640,0,0,10095,5324,0,238,9610,40420,0,0,0,22931,0
ROI_0120__20191008T045701_20191008T050028_T45TXE,0,92,17036,0,0,124311,81454,0,0,2426,19365,0,0,0,17460,0
ROI_0120__20191020T044819_20191020T044922_T45TXE,0,32330,73706,0,0,13848,938,0,0,98568,29116,0,0,196,13442,0
ROI_0120__20191219T045209_20191219T045214_T45TXE,0,0,262144,0,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0141__20181226T141039_20181226T142041_T19FDE,258589,0,3555,0,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0141__20190316T141049_20190316T142437_T19FDE,69293,0,129274,0,0,0,0,0,3947,0,53084,0,5930,0,616,0
ROI_0141__20190420T141051_20190420T142048_T19FDE,6839,0,19158,29634,107,21329,86285,58919,0,0,0,0,0,65,11326,28482
ROI_0141__20191126T141051_20191126T142045_T19FDE,0,58,15869,690,0,2308,8568,39,36,22,188512,7307,24,0,4939,33772
ROI_0141__20200419T141039_20200419T142040_T19FDE,125076,0,37037,0,0,0,0,0,15503,0,84528,0,0,0,0,0
