id,cm_t0_p0,cm_t0_p1,cm_t0_p2,cm_t0_p3,cm_t1_p0,cm_t1_p1,cm_t1_p2,cm_t1_p3,cm_t2_p0,cm_t2_p1,cm_t2_p2,cm_t2_p3,cm_t3_p0,cm_t3_p1,cm_t3_p2,cm_t3_p3
ROI_0001__20190212T142031_20190212T143214_T19FDF,87003,52780,0,40209,0,0,0,0,42371,12779,0,27002,0,0,0,0
ROI_0001__20190304T142031_20190304T142654_T19FDF,27,3378,0,9431,0,32235,0,7466,0,1,0,0,0,7099,0,202507
ROI_0001__20190316T141049_20190316T142437_T19FDF,1450,101,0,76239,0,48175,0,90748,0,0,0,0,0,536,0,44895
ROI_0001__20190525T141059_20190525T142053_T19FDF,91675,5137,0,15039,8075,9946,0,46959,12307,7694,0,38596,11295,4,0,15417
ROI_0001__20200308T141731_20200308T143551_T19FDF,66162,195030,0,952,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0010__20190125T112341_20190125T112624_T28QFG,238192,686,0,3040,0,0,0,0,20168,0,0,58,0,0,0,0
ROI_0010__20190724T112121_20190724T113118_T28QFG,4712,67646,0,0,0,73938,0,0,106,65922,0,0,0,49820,0,0
ROI_0010__20190813T112121_20190813T113228_T28QFG,23700,26656,0,0,7646,136892,0,3631,0,0,0,0,3996,55451,0,4172
ROI_0010__20190907T112119_20190907T112853_T28QFG,217706,33967,0,10471,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0010__20190922T112111_20190922T113547_T28QFG,0,3025,0,38,10771,209301,0,22973,0,0,0,0,11850,2723,0,1463
ROI_0011__20190130T103251_20190130T104108_T31REP,2879,106587,0,0,361,8213,0,0,1291,90723,0,0,0,52090,0,0
ROI_0011__20190306T103019_20190306T103540_T31REP,259162,2982,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0011__20190318T102021_20190318T102646_T31REP,67932,2308,0,2213,23835,18622,0,41813,38877,889,0,21701,13668,0,0,30286
ROI_0011__20190517T102031_20190517T102508_T31REP,0,211693,0,3563,0,6828,0,0,0,33654,0,269,0,4506,0,1631
ROI_0011__20190830T102029_20190830T102552_T31REP,359,96818,0,0,0,9664,0,0,32,102726,0,0,0,52545,0,0
ROI_0032__20190315T032531_20190315T033351_T49TFH,140382,1813,0,0,0,0,0,0,105276,4690,0,0,9983,0,0,0
ROI_0032__20190330T032539_20190330T033305_T49TFH,131020,3572,0,2298,7920,46895,0,3301,0,0,0,0,12953,5507,0,48678
ROI_0032__20190713T032541_20190713T033534_T49TFH,131977,4351,0,1963,10421,60971,0,2540,0,0,0,0,19191,1418,0,29312
ROI_0032__20190817T032539_20190817T033403_T49TFH,160950,276,0,1380,26473,22555,0,7514,0,0,0,0,18057,2271,0,22668
ROI_0032__20191110T032951_20191110T033139_T49TFH,262144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0044__20190327T100029_20190327T101005_T32QMM,395,37152,0,0,0,97393,0,0,0,0,0,0,0,115337,0,11867
ROI_0044__20190526T100039_20190526T100712_T32QMM,0,12103,0,904,0,166463,0,6037,0,0,0,0,0,30933,0,45704
ROI_0044__20190908T100031_20190908T100836_T32QMM,0,889,0,2174,0,128282,0,75085,0,0,0,0,0,1152,0,54562
ROI_0044__20200106T100401_20200106T100404_T32QMM,262144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0044__20200321T100029_20200321T100458_T32QMM,160503,33462,0,3,10037,16629,0,642,0,0,0,0,3005,30672,0,7191
ROI_0064__20181217T015619_20181217T020219_T51JVH,31127,70450,0,2502,4164,102418,0,1011,0,0,0,0,3356,33953,0,13163
ROI_0064__20190317T015619_20190317T020354_T51JVH,0,82210,0,0,0,0,0,0,0,179934,0,0,0,0,0,0
ROI_0064__20190615T015629_20190615T020446_T51JVH,0,9995,0,152467,0,70611,0,3967,0,13736,0,10233,0,714,0,421
ROI_0064__20190622T014709_20190622T015123_T51JVH,0,148187,0,113957,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0064__20191102T015619_20191102T020403_T51JVH,1942,115365,0,3374,0,88219,0,3550,0,0,0,0,0,20439,0,29255
ROI_0065__20190101T142749_20190101T143756_T19HCA,108012,151016,0,3116,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0065__20190116T142751_20190116T143701_T19HCA,22581,70263,0,78342,0,25022,0,13569,0,6561,0,10959,0,22427,0,12420
ROI_0065__20190404T143759_20190404T144906_T19HCA,46541,181641,0,225,187,19101,0,1989,0,0,0,0,0,8475,0,3985
ROI_0065__20200129T143659_20200129T144449_T19HCA,0,20026,0,12337,0,170323,0,3216,0,0,0,0,0,25080,0,31162
ROI_0065__20200410T142731_20200410T143742_T19HCA,9234,94935,0,819,9430,85567,0,339,0,0,0,0,1170,46605,0,14045
ROI_0069__20190516T151709_20190516T152114_T18LTM,6949,28775,0,101823,0,53376,0,3419,3,63636,0,4163,0,0,0,0
ROI_0069__20190913T151709_20190913T152341_T18LTM,22913,9779,0,27737,0,198947,0,2768,0,0,0,0,0,0,0,0
ROI_0069__20200225T151701_20200225T152133_T18LTM,235359,382,0,7935,731,6704,0,3570,0,0,0,0,2549,2523,0,2391
ROI_0069__20200510T151659_20200510T152614_T18LTM,54788,207356,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0069__20200624T151711_20200624T151850_T18LTM,1307,19044,0,88436,0,152248,0,1109,0,0,0,0,0,0,0,0
ROI_0079__20190120T203751_20190120T203749_T08VMM,0,196356,0,58422,0,7366,0,0,0,0,0,0,0,0,0,0
ROI_0079__20190624T202849_20190624T203750_T08VMM,0,14760,0,1085,0,177777,0,8871,0,4457,0,0,0,27617,0,27577
ROI_0079__20190706T201851_20190706T202346_T08VMM,8855,124576,0,43862,1399,43068,0,12042,0,0,0,0,41,8682,0,19619
ROI_0079__20200630T201851_20200630T202618_T08VMM,763,48458,0,25277,0,111194,0,960,0,7730,0,0,0,50934,0,16828
ROI_0079__20200725T201849_20200725T202524_T08VMM,0,13699,0,1006,0,211879,0,53,0,0,0,0,0,35507,0,0
ROI_0085__20190623T182921_20190623T183717_T11TPJ,0,76669,0,0,0,147598,0,132,0,0,0,0,0,37411,0,334
ROI_0085__20190822T182921_20190822T183216_T11TPJ,28455,72615,0,24150,322,79717,0,7326,0,0,0,0,393,5687,0,43479
ROI_0085__20190911T182921_20190911T183249_T11TPJ,2555,41244,0,18278,0,154998,0,597,0,0,0,0,176,41678,0,2618
ROI_0085__20200602T182919_20200602T183556_T11TPJ,3793,96831,0,161520,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0085__20200707T182921_20200707T183250_T11TPJ,24988,164217,0,10682,30,11705,0,26045,0,0,0,0,226,14145,0,10106
ROI_0106__20190509T152649_20190509T152958_T18LTN,0,0,0,262144,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0106__20191220T152631_20191220T153056_T18LTN,35128,2016,0,39514,0,104826,0,44986,0,0,0,0,0,1061,0,34613
ROI_0106__20200304T152639_20200304T153356_T18LTN,121516,191,0,78059,10386,11297,0,19272,0,0,0,0,8263,497,0,12663
ROI_0106__20200612T152639_20200612T153318_T18LTN,470,3949,0,174063,0,75383,0,8095,0,0,0,0,0,0,0,184
ROI_0106__20200617T152651_20200617T152645_T18LTN,47911,7735,0,1423,2304,202156,0,615,0,0,0,0,0,0,0,0
ROI_0120__20190302T045721_20190302T050545_T45TXE,262073,23,0,48,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0120__20190829T045701_20190829T045729_T45TXE,162926,6507,0,4093,3625,11794,0,0,35753,14097,0,418,1758,903,0,20270
ROI_0120__20191008T045701_20191008T050028_T45TXE,0,13438,0,3690,0,204270,0,1495,0,21709,0,82,0,15128,0,2332
ROI_0120__20191020T044819_20191020T044922_T45TXE,69,105967,0,0,0,14786,0,0,0,127671,0,13,0,7340,0,6298
ROI_0120__20191219T045209_20191219T045214_T45TXE,258428,0,0,3716,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0141__20181226T141039_20181226T142041_T19FDE,158915,30090,0,73139,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0141__20190316T141049_20190316T142437_T19FDE,23302,171759,0,3506,0,0,0,0,5957,28165,0,22909,1814,4732,0,0
ROI_0141__20190420T141051_20190420T142048_T19FDE,6482,1352,0,47797,155,42416,0,124069,0,0,0,0,0,1931,0,37942
ROI_0141__20191126T141051_20191126T142045_T19FDE,8652,360,0,7605,4753,103,0,6059,161787,350,0,33740,12438,0,0,26297
ROI_0141__20200419T141039_20200419T142040_T19FDE,0,159552,0,2561,0,0,0,0,0,99985,0,46,0,0,0,0
ROI_0153__20190405T141049_20190405T142048_T20JPM,126796,13406,0,16524,0,0,0,21199,7856,6165,0,70198,0,0,0,0
ROI_0153__20190709T141051_20190709T141051_T20JPM,101259,15315,0,3408,2278,0,0,9122,119212,11446,0,104,0,0,0,0
ROI_0153__20191201T141039_20191201T142051_T20JPM,129850,78624,0,17247,485,5372,0,30566,0,0,0,0,0,0,0,0
ROI_0153__20200411T140051_20200411T140833_T20JPM,124728,10732,0,126684,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0153__20200628T141049_20200628T141048_T20JPM,25958,0,0,11229,26162,0,0,82899,55318,0,0,60578,0,0,0,0
ROI_0154__20190326T141049_20190326T141445_T20HNJ,138127,17929,0,4132,8456,41590,0,741,0,0,0,0,25443,10812,0,14914
ROI_0154__20191113T140051_20191113T140054_T20HNJ,11370,142,0,839,38820,412,0,67017,101245,211,0,1848,33188,483,0,6569
ROI_0154__20191231T141039_20191231T142033_T20HNJ,230182,813,0,380,8289,10962,0,506,0,0,0,0,7069,1141,0,2802
ROI_0154__20200120T140639_20200120T141746_T20HNJ,81403,9055,0,287,14805,26452,0,1116,72231,617,0,3386,48173,4401,0,218
