id,cm_t0_p0,cm_t0_p1,cm_t0_p2,cm_t0_p3,cm_t1_p0,cm_t1_p1,cm_t1_p2,cm_t1_p3,cm_t2_p0,cm_t2_p1,cm_t2_p2,cm_t2_p3,cm_t3_p0,cm_t3_p1,cm_t3_p2,cm_t3_p3
ROI_0001__20190212T142031_20190212T143214_T19FDF,0,714,34351,144927,0,0,0,0,0,1010,19776,61366,0,0,0,0
ROI_0001__20190304T142031_20190304T142654_T19FDF,0,184,1891,10761,0,402,28143,11156,0,0,1,0,0,19,1531,208056
ROI_0001__20190316T141049_20190316T142437_T19FDF,0,0,484,77306,0,58171,13515,67237,0,0,0,0,0,3,559,44869
ROI_0001__20190525T141059_20190525T142053_T19FDF,0,441,111408,2,0,42151,22631,198,0,10991,46828,778,0,0,21855,4861
ROI_0001__20200308T141731_20200308T143551_T19FDF,0,2216,211544,48384,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0010__20190125T112341_20190125T112624_T28QFG,531,241371,16,0,0,0,0,0,0,20226,0,0,0,0,0,0
ROI_0010__20190724T112121_20190724T113118_T28QFG,0,25799,46559,0,0,15045,58893,0,0,9510,56518,0,0,1339,48481,0
ROI_0010__20190813T112121_20190813T113228_T28QFG,0,3,50353,0,0,24874,120943,2352,0,0,0,0,0,0,59594,4025
ROI_0010__20190907T112119_20190907T112853_T28QFG,35,237147,24011,951,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0010__20190922T112111_20190922T113547_T28QFG,0,1652,1411,0,0,176718,66320,7,0,0,0,0,0,707,14929,400
ROI_0011__20190130T103251_20190130T104108_T31REP,0,52733,56733,0,0,7838,736,0,0,40581,51433,0,0,2463,49627,0
ROI_0011__20190306T103019_20190306T103540_T31REP,8317,125,251309,2393,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0011__20190318T102021_20190318T102646_T31REP,0,11739,59608,1106,0,60272,2729,21269,0,35775,8394,17298,0,0,9261,34693
ROI_0011__20190517T102031_20190517T102508_T31REP,0,197088,18168,0,0,6827,1,0,0,33800,123,0,0,6112,25,0
ROI_0011__20190830T102029_20190830T102552_T31REP,0,62574,34603,0,0,9664,0,0,0,102758,0,0,0,33808,18737,0
ROI_0032__20190315T032531_20190315T033351_T49TFH,468,43251,38882,59594,0,0,0,0,0,92217,16149,1600,0,221,1830,7932
ROI_0032__20190330T032539_20190330T033305_T49TFH,18808,1640,70193,46249,0,24851,28247,5018,0,0,0,0,0,245,8046,58847
ROI_0032__20190713T032541_20190713T033534_T49TFH,12058,11256,47630,67347,0,58153,9827,5952,0,0,0,0,114,2350,2061,45396
ROI_0032__20190817T032539_20190817T033403_T49TFH,2952,1506,137363,20785,0,31257,23158,2127,0,0,0,0,0,284,9316,33396
ROI_0032__20191110T032951_20191110T033139_T49TFH,6,0,262138,0,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0044__20190327T100029_20190327T101005_T32QMM,0,28641,8628,278,0,36809,60584,0,0,0,0,0,0,8844,112147,6213
ROI_0044__20190526T100039_20190526T100712_T32QMM,0,230,11251,1526,0,37758,129394,5348,0,0,0,0,0,0,29977,46660
ROI_0044__20190908T100031_20190908T100836_T32QMM,0,518,2545,0,0,27791,175566,10,0,0,0,0,0,0,50433,5281
