id,cm_t0_p0,cm_t0_p1,cm_t0_p2,cm_t0_p3,cm_t1_p0,cm_t1_p1,cm_t1_p2,cm_t1_p3,cm_t2_p0,cm_t2_p1,cm_t2_p2,cm_t2_p3,cm_t3_p0,cm_t3_p1,cm_t3_p2,cm_t3_p3
ROI_0001__20190212T142031_20190212T143214_T19FDF,136682,1031,42279,0,0,0,0,0,50994,1618,29540,0,0,0,0,0
ROI_0001__20190304T142031_20190304T142654_T19FDF,6148,1586,2607,2495,39,235,30299,9128,0,0,1,0,107419,599,3438,98150
ROI_0001__20190316T141049_20190316T142437_T19FDF,57355,0,1883,18552,6359,51085,23956,57523,0,0,0,0,34255,0,1728,9448
ROI_0001__20190525T141059_20190525T142053_T19FDF,83319,439,23838,4255,0,51203,9919,3858,121,16048,28849,13579,18654,570,740,6752
ROI_0001__20200308T141731_20200308T143551_T19FDF,23031,7750,231363,0,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0010__20190125T112341_20190125T112624_T28QFG,3386,0,238532,0,0,0,0,0,0,0,20226,0,0,0,0,0
ROI_0010__20190724T112121_20190724T113118_T28QFG,0,38,72320,0,0,34,73904,0,0,88,65940,0,0,0,49820,0
ROI_0010__20190813T112121_20190813T113228_T28QFG,992,0,49364,0,0,0,147542,627,0,0,0,0,0,0,63134,485
ROI_0010__20190907T112119_20190907T112853_T28QFG,30585,2491,229029,39,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0010__20190922T112111_20190922T113547_T28QFG,0,1872,1191,0,12448,196201,34396,0,0,0,0,0,6224,2498,7314,0
ROI_0011__20190130T103251_20190130T104108_T31REP,0,0,109466,0,0,0,8574,0,0,0,92014,0,0,0,52090,0
ROI_0011__20190306T103019_20190306T103540_T31REP,0,3365,258739,40,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0011__20190318T102021_20190318T102646_T31REP,0,762,71691,0,0,54846,29424,0,0,17777,43690,0,0,0,43954,0
ROI_0011__20190517T102031_20190517T102508_T31REP,0,31,215225,0,0,227,6601,0,0,4966,28957,0,0,1234,4903,0
ROI_0011__20190830T102029_20190830T102552_T31REP,0,1603,95574,0,0,9222,442,0,0,26230,76528,0,0,5573,46972,0
ROI_0032__20190315T032531_20190315T033351_T49TFH,125904,0,16291,0,0,0,0,0,27690,0,82276,0,9271,0,712,0
ROI_0032__20190330T032539_20190330T033305_T49TFH,115075,684,14100,7031,1555,20045,31376,5140,0,0,0,0,4725,117,6983,55313
ROI_0032__20190713T032541_20190713T033534_T49TFH,37914,3880,86689,9808,0,31482,39278,3172,0,0,0,0,253,1099,10814,37755
ROI_0032__20190817T032539_20190817T033403_T49TFH,86412,212,61584,14398,138,8165,38733,9506,0,0,0,0,1250,112,8699,32935
ROI_0032__20191110T032951_20191110T033139_T49TFH,262051,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0044__20190327T100029_20190327T101005_T32QMM,0,0,37547,0,0,0,97393,0,0,0,0,0,0,45,118221,8938
ROI_0044__20190526T100039_20190526T100712_T32QMM,0,265,12375,367,0,702,168186,3612,0,0,0,0,0,0,33977,42660
ROI_0044__20190908T100031_20190908T100836_T32QMM,0,647,2416,0,0,2963,196594,3810,0,0,0,0,0,161,22812,32741
ROI_0044__20200106T100401_20200106T100404_T32QMM,0,171817,90327,0,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0044__20200321T100029_20200321T100458_T32QMM,695,385,192527,361,0,7015,20293,0,0,0,0,0,0,0,18412,22456
ROI_0064__20181217T015619_20181217T020219_T51JVH,411,12786,87914,2968,0,44112,62003,1478,0,0,0,0,0,2901,34276,13295
ROI_0064__20190317T015619_20190317T020354_T51JVH,0,0,82210,0,0,0,0,0,0,0,179934,0,0,0,0,0
ROI_0064__20190615T015629_20190615T020446_T51JVH,0,18,58237,104207,0,11241,63288,49,0,1,21094,2874,0,0,909,226
ROI_0064__20190622T014709_20190622T015123_T51JVH,0,244357,6102,11685,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0064__20191102T015619_20191102T020403_T51JVH,0,67,118266,2348,0,19365,67740,4664,0,0,0,0,0,124,15483,34087
ROI_0065__20190101T142749_20190101T143756_T19HCA,49684,0,212460,0,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0065__20190116T142751_20190116T143701_T19HCA,57334,2440,104290,7122,120,12975,24978,518,0,0,17520,0,338,396,30194,3919
ROI_0065__20190404T143759_20190404T144906_T19HCA,103236,0,125066,105,307,488,19887,595,0,0,0,0,2729,7,7000,2724
ROI_0065__20200129T143659_20200129T144449_T19HCA,4650,0,21781,5932,0,0,171830,1709,0,0,0,0,48,0,31007,25187
ROI_0065__20200410T142731_20200410T143742_T19HCA,0,0,104862,126,0,4961,89589,786,0,0,0,0,0,30,49057,12733
ROI_0069__20190516T151709_20190516T152114_T18LTM,29634,406,43796,63711,0,14355,41137,1303,0,244,65096,2462,0,0,0,0
ROI_0069__20190913T151709_20190913T152341_T18LTM,51482,1192,7702,53,1385,144814,55507,9,0,0,0,0,0,0,0,0
ROI_0069__20200225T151701_20200225T152133_T18LTM,236706,0,1677,5293,522,513,6839,3131,0,0,0,0,1752,56,3304,2351
ROI_0069__20200510T151659_20200510T152614_T18LTM,84,0,262060,0,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0069__20200624T151711_20200624T151850_T18LTM,42644,320,27897,37926,0,8857,144398,102,0,0,0,0,0,0,0,0
ROI_0079__20190120T203751_20190120T203749_T08VMM,0,247222,0,7556,0,7366,0,0,0,0,0,0,0,0,0,0
ROI_0079__20190624T202849_20190624T203750_T08VMM,982,11512,3343,8,2243,64833,117225,2347,0,3830,627,0,13033,7007,22469,12685
ROI_0079__20190706T201851_20190706T202346_T08VMM,22561,34215,70886,49631,125,15064,36569,4751,0,0,0,0,704,200,9038,18400
ROI_0079__20200630T201851_20200630T202618_T08VMM,28141,21008,25225,124,36,97204,14914,0,0,6171,1559,0,10272,30447,26832,211
ROI_0079__20200725T201849_20200725T202524_T08VMM,0,3796,10909,0,0,727,211205,0,0,0,0,0,0,0,35507,0
ROI_0085__20190623T182921_20190623T183717_T11TPJ,0,5179,71490,0,0,27612,120118,0,0,0,0,0,0,0,37745,0
ROI_0085__20190822T182921_20190822T183216_T11TPJ,42140,30,80949,2101,929,6882,77152,2402,0,0,0,0,512,1,14493,34553
ROI_0085__20190911T182921_20190911T183249_T11TPJ,9428,0,52649,0,91,5439,150065,0,0,0,0,0,859,0,43613,0
ROI_0085__20200602T182919_20200602T183556_T11TPJ,174096,20978,272,66798,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0085__20200707T182921_20200707T183250_T11TPJ,175696,67,1882,22242,4523,13202,3276,16779,0,0,0,0,4332,74,462,19609
ROI_0106__20190509T152649_20190509T152958_T18LTN,258094,0,4,4046,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0106__20191220T152631_20191220T153056_T18LTN,71371,0,5121,166,3439,0,139860,6513,0,0,0,0,18895,0,5195,11584
ROI_0106__20200304T152639_20200304T153356_T18LTN,198668,499,475,124,25639,9441,5135,740,0,0,0,0,18438,845,248,1892
ROI_0106__20200612T152639_20200612T153318_T18LTN,159450,0,8154,10878,116,0,80443,2919,0,0,0,0,103,0,0,81
ROI_0106__20200617T152651_20200617T152645_T18LTN,46757,1311,9001,0,575,2998,201502,0,0,0,0,0,0,0,0,0
ROI_0120__20190302T045721_20190302T050545_T45TXE,0,0,262144,0,0,0,0,0,0,0,0,0,0,0,0,0
