id,cm_t0_p0,cm_t0_p1,cm_t0_p2,cm_t0_p3,cm_t1_p0,cm_t1_p1,cm_t1_p2,cm_t1_p3,cm_t2_p0,cm_t2_p1,cm_t2_p2,cm_t2_p3,cm_t3_p0,cm_t3_p1,cm_t3_p2,cm_t3_p3
ROI_0001__20190212T142031_20190212T143214_T19FDF,171524,0,8468,0,0,0,0,0,69712,286,12154,0,0,0,0,0
ROI_0001__20190304T142031_20190304T142654_T19FDF,5844,1756,2241,2995,0,2688,29184,7829,0,0,1,0,2551,488,2608,203959
ROI_0001__20190316T141049_20190316T142437_T19FDF,64847,0,2509,10434,11458,33401,53782,40282,0,0,0,0,32901,0,2696,9834
ROI_0001__20190525T141059_20190525T142053_T19FDF,84933,1127,25791,0,0,52265,12715,0,244,21398,36955,0,20308,5062,1346,0
ROI_0001__20200308T141731_20200308T143551_T19FDF,257821,2409,1914,0,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0010__20190125T112341_20190125T112624_T28QFG,241375,0,543,0,0,0,0,0,20125,0,101,0,0,0,0,0
ROI_0010__20190724T112121_20190724T113118_T28QFG,40848,0,31510,0,108,0,73830,0,7079,0,58949,0,12883,0,36937,0
ROI_0010__20190813T112121_20190813T113228_T28QFG,20116,0,30240,0,5632,0,142537,0,0,0,0,0,1490,0,62129,0
ROI_0010__20190907T112119_20190907T112853_T28QFG,232349,0,29795,0,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0010__20190922T112111_20190922T113547_T28QFG,0,587,2476,0,8739,124649,109657,0,0,0,0,0,1881,143,14012,0
ROI_0011__20190130T103251_20190130T104108_T31REP,0,6,109460,0,0,0,8574,0,0,395,91619,0,0,0,52090,0
ROI_0011__20190306T103019_20190306T103540_T31REP,261849,0,295,0,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0011__20190318T102021_20190318T102646_T31REP,1634,72,70747,0,0,43577,40693,0,0,7988,53479,0,0,0,43954,0
ROI_0011__20190517T102031_20190517T102508_T31REP,287,9,214960,0,0,23,6805,0,0,1341,32582,0,0,307,5830,0
ROI_0011__20190830T102029_20190830T102552_T31REP,0,462,96715,0,0,6726,2938,0,0,19062,83696,0,0,4567,47978,0
ROI_0032__20190315T032531_20190315T033351_T49TFH,142087,0,108,0,0,0,0,0,109676,0,290,0,9983,0,0,0
ROI_0032__20190330T032539_20190330T033305_T49TFH,133935,174,1774,1007,10940,20349,22049,4778,0,0,0,0,22144,235,2118,42641
ROI_0032__20190713T032541_20190713T033534_T49TFH,50685,3067,72461,12078,0,34060,36387,3485,0,0,0,0,422,875,9188,39436
ROI_0032__20190817T032539_20190817T033403_T49TFH,49879,905,108896,2926,0,16781,39278,483,0,0,0,0,56,436,16559,25945
ROI_0032__20191110T032951_20191110T033139_T49TFH,262078,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0044__20190327T100029_20190327T101005_T32QMM,0,1756,35791,0,0,0,97393,0,0,0,0,0,0,3142,119989,4073
ROI_0044__20190526T100039_20190526T100712_T32QMM,0,0,12744,263,0,636,169049,2815,0,0,0,0,0,0,35801,40836
ROI_0044__20190908T100031_20190908T100836_T32QMM,0,4,3059,0,41,38,203288,0,0,0,0,0,5,0,55684,25
ROI_0044__20200106T100401_20200106T100404_T32QMM,54838,7120,200186,0,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0044__20200321T100029_20200321T100458_T32QMM,140,230,193514,84,0,6639,20669,0,0,0,0,0,0,0,21251,19617
ROI_0064__20181217T015619_20181217T020219_T51JVH,583,2395,99437,1664,0,50136,56291,1166,0,0,0,0,0,3271,36894,10307
ROI_0064__20190317T015619_20190317T020354_T51JVH,0,0,82210,0,0,0,0,0,0,1,179933,0,0,0,0,0
ROI_0064__20190615T015629_20190615T020446_T51JVH,0,24,74133,88305,0,30802,43776,0,0,795,21286,1888,0,0,962,173
ROI_0064__20190622T014709_20190622T015123_T51JVH,0,256939,5205,0,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0064__20191102T015619_20191102T020403_T51JVH,0,4,118987,1690,0,17899,70297,3573,0,0,0,0,0,0,21608,28086
ROI_0065__20190101T142749_20190101T143756_T19HCA,182522,3,79619,0,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0065__20190116T142751_20190116T143701_T19HCA,78952,469,88229,3536,5763,13020,19467,341,0,0,17482,38,1545,125,29305,3872
ROI_0065__20190404T143759_20190404T144906_T19HCA,131315,183,96838,71,1753,9358,9963,203,0,0,0,0,3190,2555,4845,1870
ROI_0065__20200129T143659_20200129T144449_T19HCA,7252,0,21451,3660,1,337,171522,1679,0,0,0,0,1265,0,31011,23966
ROI_0065__20200410T142731_20200410T143742_T19HCA,0,69,104827,92,0,13652,81454,230,0,0,0,0,0,45,53755,8020
ROI_0069__20190516T151709_20190516T152114_T18LTM,32827,0,57997,46723,0,18484,36551,1760,0,577,66240,985,0,0,0,0
ROI_0069__20190913T151709_20190913T152341_T18LTM,44812,532,15085,0,396,122910,78409,0,0,0,0,0,0,0,0,0
ROI_0069__20200225T151701_20200225T152133_T18LTM,242986,3,619,68,2005,3153,4477,1370,0,0,0,0,3471,1165,1737,1090
ROI_0069__20200510T151659_20200510T152614_T18LTM,51790,143633,66721,0,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0069__20200624T151711_20200624T151850_T18LTM,71346,567,36436,438,37,28401,124919,0,0,0,0,0,0,0,0,0
ROI_0079__20190120T203751_20190120T203749_T08VMM,0,253334,589,855,0,7366,0,0,0,0,0,0,0,0,0,0
ROI_0079__20190624T202849_20190624T203750_T08VMM,651,9762,5421,11,1083,54334,130143,1088,0,2221,2236,0,8588,4289,30845,11472
ROI_0079__20190706T201851_20190706T202346_T08VMM,27282,48126,46790,55095,100,25814,26109,4486,0,0,0,0,2625,1544,9702,14471
ROI_0079__20200630T201851_20200630T202618_T08VMM,25298,20234,28966,0,13,98281,13860,0,0,7010,720,0,9166,29839,28757,0
ROI_0079__20200725T201849_20200725T202524_T08VMM,0,5089,9616,0,0,1737,210195,0,0,0,0,0,0,0,35507,0
ROI_0085__20190623T182921_20190623T183717_T11TPJ,2560,10525,63584,0,0,55079,92651,0,0,0,0,0,56,1345,36344,0
ROI_0085__20190822T182921_20190822T183216_T11TPJ,74998,3,48647,1572,1313,7333,76782,1937,0,0,0,0,1788,1,15784,31986
ROI_0085__20190911T182921_20190911T183249_T11TPJ,28846,64,33167,0,3387,21357,130851,0,0,0,0,0,3864,717,39891,0
ROI_0085__20200602T182919_20200602T183556_T11TPJ,38822,219286,44,3992,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0085__20200707T182921_20200707T183250_T11TPJ,189521,233,1069,9064,5576,20468,1283,10453,0,0,0,0,12045,778,9,11645
ROI_0106__20190509T152649_20190509T152958_T18LTN,259860,0,1847,437,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0106__20191220T152631_20191220T153056_T18LTN,71059,0,5599,0,2539,0,145280,1993,0,0,0,0,21163,0,10511,4000
ROI_0106__20200304T152639_20200304T153356_T18LTN,199664,100,2,0,31779,7522,1654,0,0,0,0,0,20884,525,14,0
ROI_0106__20200612T152639_20200612T153318_T18LTN,168664,4,7196,2618,2522,719,78955,1282,0,0,0,0,184,0,0,0
ROI_0106__20200617T152651_20200617T152645_T18LTN,48868,1756,6445,0,2623,4864,197588,0,0,0,0,0,0,0,0,0
ROI_0120__20190302T045721_20190302T050545_T45TXE,33,0,262111,0,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0120__20190829T045701_20190829T045729_T45TXE,92390,30162,46903,4071,0,1514,13905,0,7280,2052,40229,707,2,3135,1,19793
ROI_0120__20191008T045701_20191008T050028_T45TXE,0,3,17125,0,0,0,205638,127,0,0,21791,0,0,0,17460,0
