id,cm_t0_p0,cm_t0_p1,cm_t0_p2,cm_t0_p3,cm_t1_p0,cm_t1_p1,cm_t1_p2,cm_t1_p3,cm_t2_p0,cm_t2_p1,cm_t2_p2,cm_t2_p3,cm_t3_p0,cm_t3_p1,cm_t3_p2,cm_t3_p3
ROI_0001__20190212T142031_20190212T143214_T19FDF,135899,0,44093,0,0,0,0,0,51690,0,30462,0,0,0,0,0
ROI_0001__20190304T142031_20190304T142654_T19FDF,5718,0,1887,5231,0,324,27310,12067,0,0,1,0,4811,0,1234,203561
ROI_0001__20190316T141049_20190316T142437_T19FDF,36964,0,5191,35635,1206,52336,16133,69248,0,0,0,0,2633,0,762,42036
ROI_0001__20190525T141059_20190525T142053_T19FDF,74044,343,30603,6861,0,43007,14009,7964,4,10595,28082,19916,14201,234,1040,11241
ROI_0001__20200308T141731_20200308T143551_T19FDF,212070,2358,47716,0,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0010__20190125T112341_20190125T112624_T28QFG,159115,0,82803,0,0,0,0,0,14115,0,6111,0,0,0,0,0
ROI_0010__20190724T112121_20190724T113118_T28QFG,0,0,72358,0,0,0,73938,0,0,0,66028,0,0,0,49820,0
ROI_0010__20190813T112121_20190813T113228_T28QFG,4587,0,45769,0,649,0,147520,0,0,0,0,0,176,0,63443,0
ROI_0010__20190907T112119_20190907T112853_T28QFG,165703,0,95811,630,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0010__20190922T112111_20190922T113547_T28QFG,0,2,3061,0,13,11524,231508,0,0,0,0,0,0,0,16036,0
ROI_0011__20190130T103251_20190130T104108_T31REP,0,0,109466,0,0,0,8574,0,0,0,92014,0,0,0,52090,0
ROI_0011__20190306T103019_20190306T103540_T31REP,163400,0,98744,0,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0011__20190318T102021_20190318T102646_T31REP,6,28,72419,0,0,54248,30022,0,0,11010,50457,0,0,0,43954,0
ROI_0011__20190517T102031_20190517T102508_T31REP,0,0,215256,0,0,0,6828,0,0,0,33923,0,0,0,6137,0
ROI_0011__20190830T102029_20190830T102552_T31REP,0,9,97168,0,0,6043,3621,0,0,13972,88786,0,0,2192,50353,0
ROI_0032__20190315T032531_20190315T033351_T49TFH,125556,0,16639,0,0,0,0,0,43156,0,66810,0,9983,0,0,0
ROI_0032__20190330T032539_20190330T033305_T49TFH,120347,322,11677,4544,2779,19855,30365,5117,0,0,0,0,7392,32,7276,52438
ROI_0032__20190713T032541_20190713T033534_T49TFH,1844,0,131610,4837,0,304,70875,2753,0,0,0,0,8,65,16251,33597
ROI_0032__20190817T032539_20190817T033403_T49TFH,181,12,155615,6798,0,14526,39689,2327,0,0,0,0,0,99,10939,31958
ROI_0032__20191110T032951_20191110T033139_T49TFH,262131,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0044__20190327T100029_20190327T101005_T32QMM,0,0,37528,19,0,0,97393,0,0,0,0,0,0,0,108075,19129
ROI_0044__20190526T100039_20190526T100712_T32QMM,0,2,12519,486,0,524,168407,3569,0,0,0,0,0,0,33748,42889
ROI_0044__20190908T100031_20190908T100836_T32QMM,0,0,3063,0,47,0,197359,5961,0,0,0,0,9,0,18942,36763
ROI_0044__20200106T100401_20200106T100404_T32QMM,505,0,261639,0,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0044__20200321T100029_20200321T100458_T32QMM,31,6,193556,375,0,3754,23554,0,0,0,0,0,0,0,17640,23228
ROI_0064__20181217T015619_20181217T020219_T51JVH,0,85,103676,318,0,26522,80433,638,0,0,0,0,0,592,43368,6512
ROI_0064__20190317T015619_20190317T020354_T51JVH,0,45,81979,186,0,0,0,0,0,0,179934,0,0,0,0,0
ROI_0064__20190615T015629_20190615T020446_T51JVH,0,15,63510,98937,0,12554,62024,0,0,7,21856,2106,0,0,942,193
ROI_0064__20190622T014709_20190622T015123_T51JVH,0,221156,2422,38566,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0064__20191102T015619_20191102T020403_T51JVH,0,0,117808,2873,0,11478,75343,4948,0,0,0,0,0,3,14969,34722
ROI_0065__20190101T142749_20190101T143756_T19HCA,108097,0,154047,0,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0065__20190116T142751_20190116T143701_T19HCA,54769,158,116075,184,2917,13224,21980,470,0,0,17520,0,474,423,30595,3355
ROI_0065__20190404T143759_20190404T144906_T19HCA,142749,43,85420,195,2446,8117,9717,997,0,0,0,0,3601,1000,3539,4320
ROI_0065__20200129T143659_20200129T144449_T19HCA,4665,0,21355,6343,0,0,171593,1946,0,0,0,0,10,0,30768,25464
ROI_0065__20200410T142731_20200410T143742_T19HCA,0,0,104907,81,0,0,95058,278,0,0,0,0,0,0,56012,5808
ROI_0069__20190516T151709_20190516T152114_T18LTM,0,28,137519,0,0,23758,32910,127,0,1553,66249,0,0,0,0,0
