id,cm_t0_p0,cm_t0_p1,cm_t0_p2,cm_t0_p3,cm_t1_p0,cm_t1_p1,cm_t1_p2,cm_t1_p3,cm_t2_p0,cm_t2_p1,cm_t2_p2,cm_t2_p3,cm_t3_p0,cm_t3_p1,cm_t3_p2,cm_t3_p3
ROI_0001__20190212T142031_20190212T143214_T19FDF,0,2019,177973,0,0,0,0,0,0,3399,78753,0,0,0,0,0
ROI_0001__20190304T142031_20190304T142654_T19FDF,7335,2108,3146,247,4462,991,34142,106,0,0,1,0,201176,554,6856,1020
ROI_0001__20190316T141049_20190316T142437_T19FDF,55921,8,21852,9,4073,60724,73993,133,0,0,0,0,33354,133,11944,0
ROI_0001__20190525T141059_20190525T142053_T19FDF,0,1010,110841,0,0,54455,10525,0,0,21430,37167,0,0,45,26671,0
ROI_0001__20200308T141731_20200308T143551_T19FDF,10080,6637,245427,0,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0010__20190125T112341_20190125T112624_T28QFG,0,240676,1242,0,0,0,0,0,0,20007,219,0,0,0,0,0
ROI_0010__20190724T112121_20190724T113118_T28QFG,0,72189,169,0,0,72522,1416,0,0,65963,65,0,0,49461,359,0
ROI_0010__20190813T112121_20190813T113228_T28QFG,0,0,50356,0,0,3888,144281,0,0,0,0,0,0,0,63619,0
ROI_0010__20190907T112119_20190907T112853_T28QFG,0,122826,139318,0,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0010__20190922T112111_20190922T113547_T28QFG,0,890,2173,0,0,140050,102995,0,0,0,0,0,0,97,15939,0
ROI_0011__20190130T103251_20190130T104108_T31REP,0,83250,26216,0,0,8286,288,0,0,72503,19511,0,0,16122,35968,0
ROI_0011__20190306T103019_20190306T103540_T31REP,0,0,262144,0,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0011__20190318T102021_20190318T102646_T31REP,0,14526,57927,0,0,62059,22211,0,0,39615,21852,0,0,3,43951,0
ROI_0011__20190517T102031_20190517T102508_T31REP,0,147100,68156,0,0,6826,2,0,0,33707,216,0,0,6137,0,0
