id,miou,pixel_acc,iou_clear,iou_thick_cloud,iou_thin_cloud,iou_cloud_shadow
ROI_0001__20190212T142031_20190212T143214_T19FDF,0.1566925048828125,0.313385009765625,0.0,,0.313385009765625,
ROI_0001__20190304T142031_20190304T142654_T19FDF,0.2277936364571702,0.7552642822265625,0.0,0.01836627601889103,2.1319234213107066e-05,0.8927869505755767
ROI_0001__20190316T141049_20190316T142437_T19FDF,0.27077476430335384,0.571868896484375,0.0,0.7748253235917857,0.0,0.30827373362162963
ROI_0001__20190525T141059_20190525T142053_T19FDF,0.19540216700732616,0.34081268310546875,0.0,0.5975171078482551,0.15717730676481786,0.026914253416231673
ROI_0001__20200308T141731_20200308T143551_T19FDF,0.00251007080078125,0.00753021240234375,0.00753021240234375,0.0,0.0,
ROI_0010__20190125T112341_20190125T112624_T28QFG,0.03984927105909865,0.07896804809570312,0.005097247403988792,,0.07460129471420851,
ROI_0010__20190724T112121_20190724T113118_T28QFG,0.11697155598413814,0.3078269958496094,0.0,0.1955229846768821,0.26734061753085214,0.005022621728818288
ROI_0010__20190813T112121_20190813T113228_T28QFG,0.0,0.0,0.0,0.0,0.0,0.0
ROI_0010__20190907T112119_20190907T112853_T28QFG,0.4979400634765625,0.995880126953125,0.995880126953125,,0.0,
ROI_0010__20190922T112111_20190922T113547_T28QFG,0.12705482953964456,0.4739837646484375,0.0,0.5082193181585782,0.0,0.0
ROI_0011__20190130T103251_20190130T104108_T31REP,0.08775138854980469,0.35100555419921875,0.0,0.0,0.35100555419921875,0.0
ROI_0011__20190306T103019_20190306T103540_T31REP,0.4974021911621094,0.9948043823242188,0.9948043823242188,,0.0,
ROI_0011__20190318T102021_20190318T102646_T31REP,0.15508666665509063,0.3748321533203125,0.0,0.47053584255135755,0.10935255062688103,0.04045827344212395
ROI_0011__20190517T102031_20190517T102508_T31REP,0.03235149383544922,0.12940597534179688,0.0,0.0,0.12940597534179688,0.0
ROI_0011__20190830T102029_20190830T102552_T31REP,0.14945595997689962,0.3843994140625,0.0,0.22130161699853,0.37652222290906845,0.0
ROI_0032__20190315T032531_20190315T033351_T49TFH,0.10974701860137134,0.41999053955078125,0.0,0.0,0.42002461133956004,0.018963463065925338
ROI_0032__20190330T032539_20190330T033305_T49TFH,0.04404183319087303,0.045513153076171875,0.0,0.008706724482070343,0.0,0.16746060828142176
