id,cm_t0_p0,cm_t0_p1,cm_t0_p2,cm_t0_p3,cm_t1_p0,cm_t1_p1,cm_t1_p2,cm_t1_p3,cm_t2_p0,cm_t2_p1,cm_t2_p2,cm_t2_p3,cm_t3_p0,cm_t3_p1,cm_t3_p2,cm_t3_p3
ROI_0001__20190212T142031_20190212T143214_T19FDF,0,0,179992,0,0,0,0,0,0,0,82152,0,0,0,0,0
ROI_0001__20190304T142031_20190304T142654_T19FDF,0,0,8395,4441,0,0,36320,3381,0,0,1,0,0,0,40932,168674
ROI_0001__20190316T141049_20190316T142437_T19FDF,0,4,46369,31417,0,56220,82640,63,0,0,0,0,0,257,18772,26402
ROI_0001__20190525T141059_20190525T142053_T19FDF,0,0,111851,0,0,0,64980,0,0,0,58597,0,0,0,26716,0
ROI_0001__20200308T141731_20200308T143551_T19FDF,0,0,262144,0,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0010__20190125T112341_20190125T112624_T28QFG,0,0,241918,0,0,0,0,0,70,0,20156,0,0,0,0,0
ROI_0010__20190724T112121_20190724T113118_T28QFG,0,0,72358,0,0,0,73938,0,0,0,66028,0,0,0,49820,0
ROI_0010__20190813T112121_20190813T113228_T28QFG,0,0,50356,0,0,0,148169,0,0,0,0,0,0,0,63619,0
ROI_0010__20190907T112119_20190907T112853_T28QFG,700,0,261444,0,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0010__20190922T112111_20190922T113547_T28QFG,0,0,3063,0,0,0,243045,0,0,0,0,0,0,0,16036,0
ROI_0011__20190130T103251_20190130T104108_T31REP,0,0,109466,0,0,0,8574,0,0,0,92014,0,0,0,52090,0
ROI_0011__20190306T103019_20190306T103540_T31REP,540,0,261604,0,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0011__20190318T102021_20190318T102646_T31REP,0,0,72453,0,0,0,84270,0,0,0,61467,0,0,0,43954,0
ROI_0011__20190517T102031_20190517T102508_T31REP,0,0,215256,0,0,0,6828,0,0,0,33923,0,0,0,6137,0
ROI_0011__20190830T102029_20190830T102552_T31REP,0,0,97177,0,0,0,9664,0,0,0,102758,0,0,0,52545,0
ROI_0032__20190315T032531_20190315T033351_T49TFH,0,0,142195,0,0,0,0,0,0,49,109917,0,0,94,9889,0
ROI_0032__20190330T032539_20190330T033305_T49TFH,0,0,127085,9805,0,0,57970,146,0,0,0,0,0,0,31301,35837
ROI_0032__20190713T032541_20190713T033534_T49TFH,0,0,137338,953,0,0,73857,75,0,0,0,0,0,0,28463,21458
ROI_0032__20190817T032539_20190817T033403_T49TFH,0,0,162583,23,0,136,56055,351,0,0,0,0,0,0,42996,0
ROI_0032__20191110T032951_20191110T033139_T49TFH,0,0,262144,0,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0044__20190327T100029_20190327T101005_T32QMM,0,0,37547,0,0,0,97393,0,0,0,0,0,0,0,127204,0
ROI_0044__20190526T100039_20190526T100712_T32QMM,0,0,13007,0,0,0,172500,0,0,0,0,0,0,0,76637,0
ROI_0044__20190908T100031_20190908T100836_T32QMM,0,0,3063,0,0,0,203367,0,0,0,0,0,0,0,55714,0
ROI_0044__20200106T100401_20200106T100404_T32QMM,66,0,262078,0,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0044__20200321T100029_20200321T100458_T32QMM,0,0,193968,0,0,0,27308,0,0,0,0,0,0,0,38184,2684
ROI_0064__20181217T015619_20181217T020219_T51JVH,0,0,104079,0,0,0,107593,0,0,0,0,0,0,0,50472,0
ROI_0064__20190317T015619_20190317T020354_T51JVH,0,2,82208,0,0,0,0,0,0,0,179934,0,0,0,0,0
ROI_0064__20190615T015629_20190615T020446_T51JVH,0,0,159557,2905,0,0,74578,0,0,125,23844,0,0,0,1135,0
ROI_0064__20190622T014709_20190622T015123_T51JVH,0,4188,257956,0,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0064__20191102T015619_20191102T020403_T51JVH,0,0,120681,0,0,0,91769,0,0,0,0,0,0,0,48503,1191
ROI_0065__20190101T142749_20190101T143756_T19HCA,0,0,262144,0,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0065__20190116T142751_20190116T143701_T19HCA,0,2297,168889,0,0,2,38589,0,0,0,17520,0,0,0,34847,0
ROI_0065__20190404T143759_20190404T144906_T19HCA,0,4463,223944,0,0,0,21277,0,0,0,0,0,0,0,12067,393
ROI_0065__20200129T143659_20200129T144449_T19HCA,0,1,32362,0,0,44,173495,0,0,0,0,0,0,1078,55164,0
ROI_0065__20200410T142731_20200410T143742_T19HCA,0,0,104988,0,0,0,95336,0,0,0,0,0,0,0,61820,0
ROI_0069__20190516T151709_20190516T152114_T18LTM,0,0,137547,0,0,0,56795,0,0,0,67802,0,0,0,0,0
ROI_0069__20190913T151709_20190913T152341_T18LTM,0,0,60429,0,0,0,201715,0,0,0,0,0,0,0,0,0
ROI_0069__20200225T151701_20200225T152133_T18LTM,0,0,243676,0,0,1,11004,0,0,0,0,0,0,0,7463,0
ROI_0069__20200510T151659_20200510T152614_T18LTM,0,0,262144,0,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0069__20200624T151711_20200624T151850_T18LTM,0,0,108787,0,0,0,153357,0,0,0,0,0,0,0,0,0
ROI_0079__20190120T203751_20190120T203749_T08VMM,0,529,254249,0,0,0,7366,0,0,0,0,0,0,0,0,0
ROI_0079__20190624T202849_20190624T203750_T08VMM,0,0,15845,0,0,0,186648,0,0,0,4457,0,0,0,55194,0
ROI_0079__20190706T201851_20190706T202346_T08VMM,0,3315,173978,0,0,0,56509,0,0,0,0,0,0,0,28342,0
ROI_0079__20200630T201851_20200630T202618_T08VMM,0,0,74498,0,0,0,112154,0,0,0,7730,0,0,0,67762,0
ROI_0079__20200725T201849_20200725T202524_T08VMM,0,0,14705,0,0,0,211932,0,0,0,0,0,0,0,35507,0
ROI_0085__20190623T182921_20190623T183717_T11TPJ,0,0,76669,0,0,0,147730,0,0,0,0,0,0,0,37745,0
ROI_0085__20190822T182921_20190822T183216_T11TPJ,0,0,125220,0,0,0,87365,0,0,0,0,0,0,0,49559,0
ROI_0085__20190911T182921_20190911T183249_T11TPJ,0,0,62077,0,0,0,155595,0,0,0,0,0,0,0,44472,0
ROI_0085__20200602T182919_20200602T183556_T11TPJ,0,0,262144,0,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0085__20200707T182921_20200707T183250_T11TPJ,0,0,199887,0,0,0,37780,0,0,0,0,0,0,0,24477,0
ROI_0106__20190509T152649_20190509T152958_T18LTN,0,0,262144,0,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0106__20191220T152631_20191220T153056_T18LTN,0,0,76658,0,0,0,149812,0,0,0,0,0,0,0,35674,0
ROI_0106__20200304T152639_20200304T153356_T18LTN,0,0,199766,0,0,0,40955,0,0,0,0,0,0,0,21423,0
ROI_0106__20200612T152639_20200612T153318_T18LTN,0,0,170273,8209,0,10,83468,0,0,0,0,0,0,0,184,0
ROI_0106__20200617T152651_20200617T152645_T18LTN,0,0,57069,0,0,0,205075,0,0,0,0,0,0,0,0,0
ROI_0120__20190302T045721_20190302T050545_T45TXE,0,0,262144,0,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0120__20190829T045701_20190829T045729_T45TXE,0,0,173526,0,0,0,15419,0,0,0,50268,0,0,0,22931,0
ROI_0120__20191008T045701_20191008T050028_T45TXE,0,0,17128,0,0,0,205765,0,0,0,21791,0,0,0,17460,0
ROI_0120__20191020T044819_20191020T044922_T45TXE,0,0,106036,0,0,0,14786,0,0,0,127684,0,0,0,13638,0
ROI_0120__20191219T045209_20191219T045214_T45TXE,0,0,262144,0,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0141__20181226T141039_20181226T142041_T19FDE,0,42,262102,0,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0141__20190316T141049_20190316T142437_T19FDE,0,0,198567,0,0,0,0,0,0,54,56977,0,0,0,6546,0
ROI_0141__20190420T141051_20190420T142048_T19FDE,0,0,55631,0,0,0,166640,0,0,0,0,0,0,0,39873,0
ROI_0141__20191126T141051_20191126T142045_T19FDE,0,0,16617,0,0,851,10064,0,0,0,195877,0,0,0,38735,0
ROI_0141__20200419T141039_20200419T142040_T19FDE,0,2029,160084,0,0,0,0,0,0,0,100031,0,0,0,0,0
ROI_0153__20190405T141049_20190405T142048_T20JPM,0,583,49665,106478,0,0,21199,0,0,1536,80724,1959,0,0,0,0
ROI_0153__20190709T141051_20190709T141051_T20JPM,0,2009,117970,3,0,9645,1755,0,0,0,130762,0,0,0,0,0
ROI_0153__20191201T141039_20191201T142051_T20JPM,0,35,225668,18,0,0,36324,99,0,0,0,0,0,0,0,0
ROI_0153__20200411T140051_20200411T140833_T20JPM,0,0,254644,7500,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0153__20200628T141049_20200628T141048_T20JPM,0,307,36302,578,0,9129,99908,24,0,3440,112456,0,0,0,0,0
ROI_0154__20190326T141049_20190326T141445_T20HNJ,0,168,160016,4,0,219,50568,0,0,0,0,0,0,100,51069,0
ROI_0154__20191113T140051_20191113T140054_T20HNJ,0,0,12351,0,0,40,106206,3,0,23,103281,0,0,10,40230,0
ROI_0154__20191231T141039_20191231T142033_T20HNJ,0,83,6676,224616,0,848,14350,4559,0,0,0,0,0,0,4233,6779
ROI_0154__20200120T140639_20200120T141746_T20HNJ,0,0,33598,57147,0,0,34949,7424,0,0,5449,70785,0,0,7682,45110
ROI_0154__20200201T135641_20200201T140849_T20HNJ,0,0,250414,11730,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0159__20190718T143751_20190718T144610_T19HBV,0,0,185748,0,0,0,54575,0,0,0,0,0,0,0,21821,0
ROI_0159__20191016T143731_20191016T144649_T18HYE,0,0,26730,0,0,66,216291,0,0,0,0,0,0,1,19056,0
ROI_0159__20200129T143659_20200129T144449_T18HYE,26581,0,235563,0,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0159__20200403T143721_20200403T144642_T19HBV,0,0,162410,2,0,0,0,0,0,0,99726,6,0,0,0,0
ROI_0159__20200607T143729_20200607T144648_T19HBV,0,0,42819,0,0,93,152551,0,0,0,0,0,0,0,66681,0
ROI_0165__20190224T145721_20190224T150622_T19LBD,0,0,108150,1246,0,0,79282,7539,0,0,0,0,0,0,32716,33211
ROI_0165__20190331T145729_20190331T150118_T19LBD,0,10,65943,0,0,53,145105,0,0,0,0,0,0,6,51027,0
ROI_0165__20190917T145729_20190917T150535_T19LBD,9524,0,252620,0,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0165__20191022T145731_20191022T150543_T19LBD,159906,188,19886,4559,1393,1421,43838,547,0,0,0,0,6481,750,13653,9522
ROI_0165__20191221T145721_20191221T145719_T19LBD,0,2,58738,0,0,0,95365,0,0,8,75617,0,0,0,32414,0
ROI_0197__20190609T175919_20190609T180009_T14VPM,0,118,9320,0,0,0,231559,0,0,0,0,0,0,0,21147,0
