id,cm_t0_p0,cm_t0_p1,cm_t0_p2,cm_t0_p3,cm_t1_p0,cm_t1_p1,cm_t1_p2,cm_t1_p3,cm_t2_p0,cm_t2_p1,cm_t2_p2,cm_t2_p3,cm_t3_p0,cm_t3_p1,cm_t3_p2,cm_t3_p3
ROI_0001__20190212T142031_20190212T143214_T19FDF,93731,9347,76914,0,0,0,0,0,41340,76,40736,0,0,0,0,0
ROI_0001__20190304T142031_20190304T142654_T19FDF,5793,4083,2960,0,3751,8226,27724,0,0,0,1,0,174043,31998,3565,0
ROI_0001__20190316T141049_20190316T142437_T19FDF,14484,1941,57491,3874,77,2939,135907,0,0,0,0,0,0,0,40011,5420
ROI_0001__20190525T141059_20190525T142053_T19FDF,0,39532,72319,0,0,64844,136,0,0,57712,885,0,0,8951,17765,0
ROI_0001__20200308T141731_20200308T143551_T19FDF,0,39884,222260,0,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0010__20190125T112341_20190125T112624_T28QFG,0,241913,5,0,0,0,0,0,0,20226,0,0,0,0,0,0
ROI_0010__20190724T112121_20190724T113118_T28QFG,0,72358,0,0,0,73938,0,0,0,66028,0,0,0,49820,0,0
ROI_0010__20190813T112121_20190813T113228_T28QFG,0,33944,16412,0,0,134443,13726,0,0,0,0,0,41,48456,15122,0
ROI_0010__20190907T112119_20190907T112853_T28QFG,51799,186170,24175,0,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0010__20190922T112111_20190922T113547_T28QFG,0,189,2874,0,0,151976,91069,0,0,0,0,0,0,1505,14531,0
ROI_0011__20190130T103251_20190130T104108_T31REP,0,109230,236,0,0,8574,0,0,0,92014,0,0,0,52090,0,0
ROI_0011__20190306T103019_20190306T103540_T31REP,2186,259866,92,0,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0011__20190318T102021_20190318T102646_T31REP,0,72111,342,0,0,84270,0,0,0,61462,5,0,0,43953,1,0
ROI_0011__20190517T102031_20190517T102508_T31REP,0,215242,14,0,0,6828,0,0,0,33923,0,0,0,6137,0,0
ROI_0011__20190830T102029_20190830T102552_T31REP,0,97126,51,0,0,9664,0,0,0,102758,0,0,0,52545,0,0
ROI_0032__20190315T032531_20190315T033351_T49TFH,0,69979,72216,0,0,0,0,0,0,106197,3769,0,0,1794,8189,0
ROI_0032__20190330T032539_20190330T033305_T49TFH,2941,8886,125063,0,2376,19845,35895,0,0,0,0,0,28068,12288,26782,0
ROI_0032__20190713T032541_20190713T033534_T49TFH,887,30364,107040,0,1772,52414,19746,0,0,0,0,0,21882,9252,18787,0
ROI_0032__20190817T032539_20190817T033403_T49TFH,27746,3269,131591,0,872,17357,38313,0,0,0,0,0,38217,80,4699,0
ROI_0032__20191110T032951_20191110T033139_T49TFH,8,12863,230096,19177,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0044__20190327T100029_20190327T101005_T32QMM,0,16955,20592,0,0,84381,13012,0,0,0,0,0,0,75541,51663,0
ROI_0044__20190526T100039_20190526T100712_T32QMM,0,0,13007,0,0,7270,165230,0,0,0,0,0,0,0,76637,0
ROI_0044__20190908T100031_20190908T100836_T32QMM,0,193,2870,0,0,109001,94366,0,0,0,0,0,0,9718,45996,0
ROI_0044__20200106T100401_20200106T100404_T32QMM,1052,260494,598,0,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0044__20200321T100029_20200321T100458_T32QMM,537,75581,117850,0,0,13219,14089,0,0,0,0,0,22597,14318,3953,0
ROI_0064__20181217T015619_20181217T020219_T51JVH,48,101749,2282,0,0,107414,179,0,0,0,0,0,0,50157,315,0
ROI_0064__20190317T015619_20190317T020354_T51JVH,0,76471,5739,0,0,0,0,0,0,173226,6708,0,0,0,0,0
ROI_0064__20190615T015629_20190615T020446_T51JVH,18461,143375,626,0,0,68125,6453,0,18,23951,0,0,0,1135,0,0
